open,high,low,close,volume,date
81.85,85.02,81.85,85.02,720.0,2011-07-17 05:45:00
86.69,90.06,86.69,90.06,440.0,2011-07-18 05:45:00
90.06,90.06,90.06,90.06,100.0,2011-07-19 05:45:00
88.29,88.29,85.6,85.6,1370.0,2011-07-20 05:45:00
83.91,83.91,80.85,81.85,2710.0,2011-07-21 05:45:00
80.25,80.25,75.88,79.85,5900.0,2011-07-24 05:45:00
78.26,78.26,76.86,76.86,1040.0,2011-07-25 05:45:00
78.36,78.36,78.36,78.36,330.0,2011-07-26 05:45:00
79.85,79.85,78.36,78.36,2220.0,2011-07-27 05:45:00
78.36,78.86,78.36,78.46,980.0,2011-07-28 05:45:00
79.85,81.34,79.85,80.35,790.0,2011-07-31 05:45:00
80.85,80.85,80.85,80.85,100.0,2011-08-01 05:45:00
81.85,81.85,81.85,81.85,350.0,2011-08-02 05:45:00
82.33,82.83,81.34,82.33,650.0,2011-08-03 05:45:00
80.74,80.74,80.74,80.74,230.0,2011-08-04 05:45:00
80.85,80.85,80.85,80.85,500.0,2011-08-08 05:45:00
79.35,79.35,79.35,79.35,400.0,2011-08-09 05:45:00
79.35,80.55,79.35,80.55,370.0,2011-08-10 05:45:00
80.55,80.55,80.55,80.55,230.0,2011-08-11 05:45:00
82.14,84.32,82.14,83.72,1070.0,2011-08-16 05:45:00
83.32,83.32,83.32,83.32,350.0,2011-08-17 05:45:00
84.91,84.91,83.32,83.32,1360.0,2011-08-18 05:45:00
84.91,84.91,83.23,83.23,300.0,2011-08-22 05:45:00
83.32,84.32,82.63,82.63,750.0,2011-08-23 05:45:00
81.14,81.14,81.14,81.14,200.0,2011-08-24 05:45:00
82.73,86.0,81.05,81.05,780.0,2011-08-25 05:45:00
82.63,82.63,82.63,82.63,180.0,2011-08-28 05:45:00
81.05,81.05,81.05,81.05,100.0,2011-08-29 05:45:00
82.33,83.91,82.33,82.33,780.0,2011-08-30 05:45:00
83.82,85.8,83.82,84.32,1190.0,2011-09-04 05:45:00
83.82,83.82,83.32,83.32,900.0,2011-09-05 05:45:00
81.75,81.75,81.75,81.75,300.0,2011-09-06 05:45:00
83.32,83.32,82.33,82.33,740.0,2011-09-07 05:45:00
83.32,83.42,81.85,82.83,550.0,2011-09-08 05:45:00
81.34,82.14,81.34,82.14,550.0,2011-09-12 05:45:00
80.85,80.85,80.85,80.85,300.0,2011-09-13 05:45:00
79.35,79.35,77.77,77.86,3330.0,2011-09-14 05:45:00
79.26,79.85,77.37,77.86,2670.0,2011-09-15 05:45:00
76.86,77.07,75.4,76.86,6700.0,2011-09-18 05:45:00
77.47,77.47,75.4,75.4,5480.0,2011-09-19 05:45:00
76.38,76.38,76.38,76.38,500.0,2011-09-20 05:45:00
77.37,77.37,77.37,77.37,800.0,2011-09-21 05:45:00
77.86,77.86,76.38,76.97,3030.0,2011-09-22 05:45:00
77.37,77.86,76.86,77.86,1200.0,2011-09-25 05:45:00
78.36,78.66,76.97,76.97,1320.0,2011-09-26 05:45:00
77.37,77.47,77.37,77.47,290.0,2011-09-27 05:45:00
78.86,78.95,78.36,78.36,840.0,2011-09-29 05:45:00
79.35,79.35,79.35,79.35,200.0,2011-10-02 05:45:00
79.35,79.35,79.35,79.35,700.0,2011-10-09 05:45:00
80.05,80.85,79.85,79.85,820.0,2011-10-10 05:45:00
80.44,81.34,80.35,80.85,1030.0,2011-10-12 05:45:00
81.14,81.34,80.94,81.34,410.0,2011-10-13 05:45:00
81.34,84.32,81.34,84.32,1850.0,2011-10-16 05:45:00
85.32,86.0,84.81,84.81,800.0,2011-10-17 05:45:00
85.32,85.71,84.81,85.71,850.0,2011-10-18 05:45:00
87.39,94.14,87.39,93.24,8170.0,2011-10-19 05:45:00
95.04,95.72,85.71,85.9,9070.0,2011-10-20 05:45:00
87.49,89.28,87.29,87.78,3610.0,2011-10-23 05:45:00
88.29,89.28,87.29,88.38,4970.0,2011-10-24 05:45:00
88.38,88.87,87.29,87.78,3320.0,2011-10-25 05:45:00
89.48,89.48,87.78,87.78,4320.0,2011-10-30 05:45:00
87.78,88.77,87.29,88.29,2960.0,2011-10-31 05:45:00
89.96,89.96,89.96,89.96,50.0,2011-11-02 05:45:00
91.75,93.74,88.38,89.77,3530.0,2011-11-03 05:45:00
90.46,90.46,88.77,89.96,1790.0,2011-11-06 05:45:00
89.77,90.77,89.28,89.28,3430.0,2011-11-08 05:45:00
87.99,89.37,87.99,89.37,630.0,2011-11-10 05:45:00
89.28,89.28,88.29,88.29,1100.0,2011-11-13 05:45:00
89.28,89.37,88.29,88.29,970.0,2011-11-14 05:45:00
89.28,89.28,87.88,88.29,980.0,2011-11-15 05:45:00
89.77,89.77,86.3,86.4,800.0,2011-11-16 05:45:00
86.4,87.59,85.71,85.8,2680.0,2011-11-17 05:45:00
85.8,86.3,85.02,85.8,2890.0,2011-11-20 05:45:00
85.32,85.9,85.32,85.9,650.0,2011-11-21 05:45:00
85.32,85.32,84.32,84.32,1650.0,2011-11-22 05:45:00
83.32,84.32,83.04,83.82,1980.0,2011-11-23 05:45:00
83.32,83.32,82.63,82.63,2020.0,2011-11-24 05:45:00
82.14,83.32,79.35,79.35,4440.0,2011-11-27 05:45:00
77.77,77.86,73.41,77.57,21660.0,2011-11-28 05:45:00
77.86,77.86,76.77,77.17,16590.0,2011-11-29 05:45:00
76.86,77.17,75.88,76.86,18440.0,2011-11-30 05:45:00
76.57,78.36,76.57,78.06,15120.0,2011-12-01 05:45:00
78.06,81.34,77.77,80.05,12640.0,2011-12-04 05:45:00
80.35,81.05,79.35,80.85,15380.0,2011-12-05 05:45:00
80.85,83.82,80.85,82.43,15510.0,2011-12-06 05:45:00
82.43,83.72,81.64,82.33,15400.0,2011-12-07 05:45:00
81.75,82.14,80.64,81.24,9840.0,2011-12-08 05:45:00
81.24,81.34,80.25,80.35,13930.0,2011-12-11 05:45:00
79.35,80.35,78.36,79.06,10670.0,2011-12-12 05:45:00
78.46,79.15,77.95,78.06,9280.0,2011-12-13 05:45:00
77.86,80.35,77.67,80.35,12980.0,2011-12-14 05:45:00
80.35,81.34,79.06,80.74,8030.0,2011-12-15 05:45:00
80.35,80.85,79.35,80.74,16040.0,2011-12-18 05:45:00
80.35,81.05,80.35,80.85,17870.0,2011-12-19 05:45:00
80.85,82.73,80.85,82.04,16250.0,2011-12-20 05:45:00
82.33,82.83,82.14,82.33,20490.0,2011-12-21 05:45:00
82.23,82.23,81.14,81.85,34460.0,2011-12-22 05:45:00
81.34,83.32,80.15,82.33,48010.0,2011-12-26 05:45:00
83.75,84.9,82.31,84.9,890.0,2011-12-28 05:45:00
84.9,86.48,84.9,86.48,450.0,2011-12-29 05:45:00
86.2,86.91,85.9,86.62,2090.0,2012-01-01 05:45:00
86.77,89.22,86.77,87.77,1110.0,2012-01-02 05:45:00
86.2,89.22,85.62,88.35,4810.0,2012-01-03 05:45:00
86.91,89.07,86.34,89.07,5290.0,2012-01-04 05:45:00
87.34,88.35,86.91,88.21,1180.0,2012-01-05 05:45:00
87.77,87.92,87.05,87.63,2090.0,2012-01-08 05:45:00
87.77,87.77,87.05,87.49,1320.0,2012-01-09 05:45:00
88.06,88.5,87.63,87.77,1700.0,2012-01-10 05:45:00
87.77,90.95,87.63,87.77,1950.0,2012-01-11 05:45:00
86.05,88.21,86.05,87.63,1930.0,2012-01-12 05:45:00
85.9,88.06,85.9,87.63,2020.0,2012-01-16 05:45:00
83.32,83.32,83.32,83.32,80.0,2012-01-17 05:45:00
84.9,88.5,84.9,87.77,2950.0,2012-01-18 05:45:00
86.05,87.49,84.46,87.49,1380.0,2012-01-19 05:45:00
87.92,87.92,87.05,87.34,2310.0,2012-01-22 05:45:00
87.77,89.5,87.21,87.77,3430.0,2012-01-23 05:45:00
86.34,88.06,86.34,88.06,150.0,2012-01-25 05:45:00
87.77,88.5,87.77,88.06,2660.0,2012-01-26 05:45:00
87.21,88.35,86.05,88.35,5440.0,2012-01-29 05:45:00
87.05,88.06,87.05,88.06,1280.0,2012-01-31 05:45:00
87.77,87.77,87.34,87.63,2860.0,2012-02-01 05:45:00
88.06,88.06,87.21,87.34,4880.0,2012-02-02 05:45:00
87.77,87.77,87.49,87.77,2530.0,2012-02-05 05:45:00
87.49,87.49,86.34,87.05,1900.0,2012-02-06 05:45:00
87.05,87.05,86.34,86.34,3180.0,2012-02-07 05:45:00
86.2,86.34,85.9,85.9,1530.0,2012-02-08 05:45:00
85.9,85.9,85.47,85.47,2620.0,2012-02-09 05:45:00
85.47,85.62,84.9,85.62,2210.0,2012-02-12 05:45:00
85.33,85.62,85.04,85.04,5040.0,2012-02-13 05:45:00
85.04,85.47,84.75,84.75,2410.0,2012-02-14 05:45:00
85.04,85.19,84.75,84.9,1980.0,2012-02-15 05:45:00
85.47,86.2,85.47,85.9,510.0,2012-02-16 05:45:00
86.34,86.34,85.19,85.62,500.0,2012-02-21 05:45:00
86.05,86.2,85.19,85.33,1460.0,2012-02-23 05:45:00
85.19,85.47,84.9,84.9,1700.0,2012-02-26 05:45:00
84.9,85.04,84.9,84.9,1130.0,2012-02-27 05:45:00
85.19,85.33,84.9,85.33,1900.0,2012-02-28 05:45:00
86.05,86.05,85.62,85.76,1140.0,2012-02-29 05:45:00
85.62,86.05,85.47,86.05,2720.0,2012-03-01 05:45:00
85.76,86.62,85.47,86.2,3350.0,2012-03-04 05:45:00
86.62,86.62,86.05,86.2,2390.0,2012-03-05 05:45:00
86.2,86.34,85.9,86.2,2360.0,2012-03-06 05:45:00
86.2,86.34,84.9,86.05,6530.0,2012-03-11 05:45:00
85.9,86.05,84.9,85.9,9890.0,2012-03-12 05:45:00
85.9,86.05,85.9,85.9,800.0,2012-03-13 05:45:00
85.76,86.2,85.76,85.9,1890.0,2012-03-14 05:45:00
86.05,86.05,85.62,85.62,1240.0,2012-03-15 05:45:00
85.9,85.9,85.47,85.9,2090.0,2012-03-18 05:45:00
85.9,86.05,85.62,85.76,2410.0,2012-03-19 05:45:00
85.47,85.76,85.47,85.76,2260.0,2012-03-20 05:45:00
85.76,86.34,85.47,85.76,1960.0,2012-03-21 05:45:00
85.62,85.62,85.33,85.47,1800.0,2012-03-25 05:45:00
85.19,85.62,84.75,84.9,2580.0,2012-03-26 05:45:00
83.46,84.9,83.46,84.9,1100.0,2012-03-27 05:45:00
84.75,86.2,84.18,84.46,2390.0,2012-03-28 05:45:00
84.46,84.75,84.46,84.46,2920.0,2012-03-29 05:45:00
84.61,84.61,84.46,84.61,820.0,2012-04-01 05:45:00
86.2,86.2,84.9,85.47,720.0,2012-04-02 05:45:00
84.18,86.34,84.18,85.76,4140.0,2012-04-03 05:45:00
85.76,86.05,85.47,85.62,560.0,2012-04-04 05:45:00
85.76,87.05,85.62,85.62,1460.0,2012-04-05 05:45:00
85.47,86.34,85.47,85.76,1980.0,2012-04-08 05:45:00
87.05,87.05,85.76,86.34,4360.0,2012-04-09 05:45:00
85.19,87.49,85.19,87.21,630.0,2012-04-10 05:45:00
88.06,91.51,87.49,87.77,5120.0,2012-04-11 05:45:00
87.92,91.65,87.92,91.65,4100.0,2012-04-12 05:45:00
93.39,99.01,93.39,98.86,3040.0,2012-04-15 05:45:00
100.73,100.73,100.73,100.73,10.0,2012-04-16 05:45:00
102.75,110.8,94.54,97.85,10410.0,2012-04-17 05:45:00
97.85,107.19,94.68,104.46,6290.0,2012-04-18 05:45:00
105.05,107.78,103.59,105.76,4230.0,2012-04-19 05:45:00
106.48,110.65,106.48,110.23,6270.0,2012-04-22 05:45:00
112.38,118.99,112.38,118.99,590.0,2012-04-24 05:45:00
121.3,130.79,121.3,130.79,1660.0,2012-04-25 05:45:00
133.39,136.41,123.75,128.93,16192.0,2012-04-26 05:45:00
129.5,130.08,123.89,127.77,11728.0,2012-04-29 05:45:00
126.63,126.63,121.59,122.45,5692.0,2012-04-30 05:45:00
120.0,120.0,110.23,110.95,4996.0,2012-05-02 05:45:00
113.11,113.11,113.11,113.11,12.0,2012-05-03 05:45:00
110.95,115.25,110.95,113.11,92.0,2012-05-04 05:45:00
115.25,119.86,115.25,119.86,126.0,2012-05-07 05:45:00
