open,high,low,close,volume,date
381.0,381.0,342.9,342.9,318724.0,2023-10-01 05:45:00
337.5,342.75,331.58,338.18,287052.0,2023-10-02 20:45:00
334.5,337.5,333.75,334.5,125451.0,2023-10-03 20:45:00
327.83,340.65,327.83,335.77,154840.0,2023-10-04 20:45:00
335.77,335.77,330.83,331.5,99886.0,2023-10-05 20:45:00
331.5,333.0,323.25,324.22,104649.0,2023-10-08 20:45:00
322.5,324.75,318.07,318.45,69000.0,2023-10-09 20:45:00
315.0,322.43,313.5,313.65,61914.0,2023-10-10 20:45:00
310.2,318.75,310.2,312.98,60228.0,2023-10-11 20:45:00
311.32,315.0,306.0,307.5,79060.0,2023-10-12 20:45:00
303.83,306.0,292.95,294.82,92874.0,2023-10-16 20:45:00
296.25,305.25,295.65,299.25,41125.0,2023-10-17 20:45:00
299.25,307.12,297.0,305.25,45507.0,2023-10-18 20:45:00
301.5,306.98,300.08,303.0,34627.0,2023-10-19 20:45:00
297.15,300.0,292.5,295.5,58403.0,2023-10-29 20:45:00
292.5,295.35,291.37,293.25,35285.0,2023-10-30 20:45:00
293.25,295.5,291.82,293.25,31696.0,2023-10-31 20:45:00
289.5,296.25,289.5,291.75,38011.0,2023-11-01 20:45:00
285.97,291.75,285.97,286.5,37752.0,2023-11-02 20:45:00
285.97,285.97,281.4,283.5,36349.0,2023-11-05 20:45:00
281.25,290.25,281.25,287.78,37391.0,2023-11-06 20:45:00
287.63,302.4,286.5,302.25,56868.0,2023-11-07 20:45:00
300.0,310.35,297.75,309.75,53030.0,2023-11-08 20:45:00
304.65,308.32,298.87,304.2,41773.0,2023-11-09 20:45:00
303.75,311.62,300.9,304.8,56840.0,2023-11-20 20:45:00
301.5,304.5,295.5,297.0,46023.0,2023-11-21 20:45:00
291.82,306.75,291.82,304.65,45978.0,2023-11-22 20:45:00
300.15,325.5,300.15,322.5,125720.0,2023-11-23 20:45:00
322.5,341.25,318.75,339.75,141953.0,2023-11-26 20:45:00
333.75,346.5,333.75,337.5,143945.0,2023-11-27 20:45:00
332.25,342.0,332.25,336.15,99371.0,2023-11-28 20:45:00
336.15,339.75,326.25,330.0,95304.0,2023-11-29 20:45:00
323.4,332.62,323.4,330.0,66153.0,2023-11-30 20:45:00
