open,high,low,close,volume,date
113.75,114.45,113.75,114.45,20.0,2016-11-24 05:45:00
115.33,118.83,115.33,118.83,512.0,2016-11-27 05:45:00
119.72,122.35,117.96,122.0,2505.0,2016-11-28 05:45:00
122.87,127.08,122.17,127.08,1057.0,2016-11-29 05:45:00
127.08,132.7,127.08,132.7,998.0,2016-11-30 05:45:00
133.93,138.85,133.93,138.85,1290.0,2016-12-01 05:45:00
138.85,143.05,137.79,139.73,3303.0,2016-12-04 05:45:00
139.73,139.73,132.88,133.05,1845.0,2016-12-05 05:45:00
134.28,135.86,132.88,135.16,631.0,2016-12-06 05:45:00
135.16,138.15,134.46,136.04,399.0,2016-12-07 05:45:00
134.81,135.51,133.76,134.28,276.0,2016-12-08 05:45:00
135.51,135.51,133.93,134.28,234.0,2016-12-11 05:45:00
133.41,134.63,132.18,134.63,1492.0,2016-12-12 05:45:00
134.99,136.92,134.63,136.92,879.0,2016-12-14 05:45:00
136.92,143.58,135.86,143.58,962.0,2016-12-15 05:45:00
142.18,144.98,141.65,142.88,2471.0,2016-12-18 05:45:00
141.65,141.65,138.85,140.08,142.0,2016-12-19 05:45:00
138.85,138.85,136.39,137.79,91.0,2016-12-20 05:45:00
136.56,136.92,135.33,136.92,242.0,2016-12-21 05:45:00
135.86,141.3,135.86,140.43,7745.0,2016-12-22 05:45:00
140.43,142.18,139.55,141.3,676.0,2016-12-26 05:45:00
141.3,141.3,138.85,140.08,1505.0,2016-12-27 05:45:00
139.02,143.94,138.85,143.94,1042.0,2016-12-28 05:45:00
145.34,145.69,141.65,145.69,709.0,2016-12-29 05:45:00
144.28,145.69,143.23,143.23,561.0,2017-01-01 05:45:00
144.64,150.43,144.64,148.85,5982.0,2017-01-02 05:45:00
149.38,154.65,149.38,153.59,1654.0,2017-01-03 05:45:00
152.01,154.47,148.85,153.59,682.0,2017-01-04 05:45:00
153.59,157.98,152.01,152.01,1485.0,2017-01-05 05:45:00
150.43,155.17,148.85,155.17,1521.0,2017-01-08 05:45:00
156.75,157.98,152.01,155.17,1281.0,2017-01-09 05:45:00
156.22,157.11,154.47,157.11,741.0,2017-01-10 05:45:00
