open,high,low,close,volume,date
246.45,271.09,246.45,271.09,292.0,2022-04-19 05:45:00
276.45,298.18,276.45,298.18,329.0,2022-04-20 20:45:00
304.09,328.0,304.09,328.0,2937.0,2022-04-21 20:45:00
334.55,360.73,334.55,360.73,23368.0,2022-04-24 20:45:00
367.91,396.73,339.09,362.73,117936.0,2022-04-25 20:45:00
363.64,369.09,340.91,354.55,31191.0,2022-04-26 20:45:00
354.55,354.55,341.82,350.0,19815.0,2022-04-27 20:45:00
354.55,356.36,342.36,343.09,17660.0,2022-04-28 20:45:00
336.36,337.27,308.82,325.45,33774.0,2022-05-02 20:45:00
326.36,326.36,292.91,295.0,39443.0,2022-05-04 20:45:00
289.27,293.64,275.45,276.36,17917.0,2022-05-05 20:45:00
276.36,287.27,262.0,281.82,21258.0,2022-05-08 20:45:00
286.36,286.36,270.0,277.27,9948.0,2022-05-09 20:45:00
282.82,286.36,271.73,279.09,16367.0,2022-05-10 20:45:00
279.09,304.09,275.64,295.91,21910.0,2022-05-11 20:45:00
298.91,305.45,285.09,291.55,18554.0,2022-05-12 20:45:00
289.09,289.09,265.0,265.0,15356.0,2022-05-17 20:45:00
265.45,279.09,258.45,277.27,16194.0,2022-05-18 20:45:00
272.73,278.18,263.64,272.73,13565.0,2022-05-19 20:45:00
268.18,278.18,263.82,268.18,7312.0,2022-05-20 20:45:00
262.82,268.18,259.55,260.36,7110.0,2022-05-23 20:45:00
259.09,270.0,256.45,264.27,9756.0,2022-05-24 20:45:00
267.91,271.82,259.45,264.09,4662.0,2022-05-25 20:45:00
264.09,271.64,260.09,264.55,9061.0,2022-05-26 20:45:00
263.64,268.18,259.45,263.55,10340.0,2022-05-27 20:45:00
259.09,268.18,254.55,255.45,6744.0,2022-05-30 20:45:00
250.91,254.55,246.36,254.55,9538.0,2022-05-31 20:45:00
250.91,257.18,246.73,250.91,4880.0,2022-06-01 20:45:00
246.45,254.0,244.64,246.36,5733.0,2022-06-02 20:45:00
241.82,252.18,241.82,246.36,9615.0,2022-06-03 20:45:00
245.45,254.45,245.45,245.45,6687.0,2022-06-06 20:45:00
240.91,248.18,236.55,237.36,8189.0,2022-06-07 20:45:00
232.73,260.91,232.73,250.0,11467.0,2022-06-08 20:45:00
250.0,255.0,241.0,241.0,7513.0,2022-06-09 20:45:00
245.73,265.09,245.45,265.09,27782.0,2022-06-10 20:45:00
270.36,291.55,270.36,291.55,33483.0,2022-06-13 20:45:00
297.36,320.0,269.64,272.73,59615.0,2022-06-14 20:45:00
267.27,278.18,253.64,264.09,21862.0,2022-06-15 20:45:00
269.09,281.82,254.55,274.55,12338.0,2022-06-16 20:45:00
272.73,280.82,265.55,273.18,11414.0,2022-06-17 20:45:00
268.27,271.64,262.09,263.64,12859.0,2022-06-19 20:45:00
258.36,258.36,249.64,252.55,12882.0,2022-06-20 20:45:00
254.55,265.18,249.45,264.27,13189.0,2022-06-21 20:45:00
259.09,260.55,252.73,260.55,9925.0,2022-06-22 20:45:00
255.36,255.36,241.82,241.82,11732.0,2022-06-23 20:45:00
240.91,265.18,231.91,250.91,7344.0,2022-06-24 20:45:00
250.91,272.27,250.91,270.91,15762.0,2022-06-26 20:45:00
265.55,272.73,257.27,260.91,14028.0,2022-06-27 20:45:00
255.73,264.09,251.91,258.91,11636.0,2022-06-28 20:45:00
254.55,281.82,250.91,280.18,24951.0,2022-06-29 20:45:00
280.0,293.64,275.45,287.27,25445.0,2022-06-30 20:45:00
283.64,292.73,279.09,280.91,17724.0,2022-07-01 20:45:00
277.27,296.36,275.55,292.73,32513.0,2022-07-03 20:45:00
295.45,300.91,281.82,295.45,37440.0,2022-07-04 20:45:00
289.55,300.91,281.82,286.36,22821.0,2022-07-05 20:45:00
282.09,287.27,277.27,286.36,12869.0,2022-07-06 20:45:00
286.36,296.36,280.91,285.45,16030.0,2022-07-07 20:45:00
285.45,285.45,271.82,276.36,10135.0,2022-07-08 20:45:00
272.91,272.91,258.18,258.18,9345.0,2022-07-11 20:45:00
259.09,272.73,257.27,263.09,11763.0,2022-07-12 20:45:00
257.91,275.0,257.91,270.91,13944.0,2022-07-13 20:45:00
