open,high,low,close,volume,date
44.66,44.66,44.66,44.66,150.0,2011-07-17 05:45:00
44.96,44.96,44.36,44.36,262.0,2011-07-18 05:45:00
44.06,44.06,43.46,43.46,486.0,2011-07-19 05:45:00
43.46,43.56,43.06,43.36,1028.0,2011-07-20 05:45:00
42.76,43.06,42.76,43.06,374.0,2011-07-21 05:45:00
43.26,43.76,43.16,43.26,991.0,2011-07-24 05:45:00
42.96,43.26,42.36,42.36,1065.0,2011-07-25 05:45:00
42.36,42.36,42.36,42.36,37.0,2011-07-26 05:45:00
42.26,42.46,42.26,42.26,252.0,2011-07-27 05:45:00
42.16,42.56,42.16,42.56,1505.0,2011-07-28 05:45:00
42.36,43.16,42.26,43.16,766.0,2011-07-31 05:45:00
43.06,43.06,42.86,42.96,757.0,2011-08-01 05:45:00
43.26,43.86,42.96,43.86,336.0,2011-08-02 05:45:00
43.86,44.36,43.76,44.26,991.0,2011-08-03 05:45:00
44.26,44.26,43.66,43.66,776.0,2011-08-04 05:45:00
43.36,43.36,43.06,43.36,514.0,2011-08-07 05:45:00
43.36,43.36,43.36,43.36,19.0,2011-08-08 05:45:00
43.66,43.66,43.36,43.36,1393.0,2011-08-09 05:45:00
43.56,43.66,43.56,43.66,103.0,2011-08-10 05:45:00
43.36,43.36,42.66,42.76,1850.0,2011-08-11 05:45:00
43.06,43.06,42.76,42.76,56.0,2011-08-15 05:45:00
42.56,42.86,42.56,42.66,449.0,2011-08-17 05:45:00
42.36,42.76,42.36,42.76,131.0,2011-08-18 05:45:00
42.46,42.96,42.36,42.96,355.0,2011-08-22 05:45:00
42.96,42.96,42.36,42.36,1318.0,2011-08-23 05:45:00
42.06,42.36,42.06,42.06,280.0,2011-08-24 05:45:00
42.26,42.26,41.86,42.26,449.0,2011-08-28 05:45:00
42.56,42.56,42.06,42.16,1047.0,2011-08-29 05:45:00
42.36,42.56,42.26,42.56,626.0,2011-09-01 05:45:00
42.36,42.56,42.16,42.16,1112.0,2011-09-04 05:45:00
42.26,42.46,41.96,42.06,1411.0,2011-09-05 05:45:00
42.26,42.26,41.46,41.56,1019.0,2011-09-06 05:45:00
41.36,41.36,41.16,41.26,318.0,2011-09-07 05:45:00
41.06,41.66,41.06,41.66,1243.0,2011-09-08 05:45:00
41.66,41.66,41.36,41.36,551.0,2011-09-12 05:45:00
41.36,41.46,41.16,41.36,598.0,2011-09-13 05:45:00
41.26,41.96,40.96,41.96,953.0,2011-09-14 05:45:00
41.76,41.76,41.36,41.36,150.0,2011-09-15 05:45:00
41.16,41.56,41.16,41.56,224.0,2011-09-18 05:45:00
41.66,41.96,41.36,41.96,701.0,2011-09-19 05:45:00
42.06,42.16,41.96,41.96,299.0,2011-09-20 05:45:00
41.86,41.86,41.56,41.86,374.0,2011-09-21 05:45:00
41.86,42.36,41.86,42.26,645.0,2011-09-22 05:45:00
42.06,42.26,42.06,42.26,280.0,2011-09-25 05:45:00
41.96,42.56,41.96,42.56,486.0,2011-09-26 05:45:00
42.56,42.76,42.56,42.56,140.0,2011-09-27 05:45:00
42.86,44.06,42.86,43.26,3813.0,2011-09-29 05:45:00
43.26,43.26,43.26,43.26,991.0,2011-10-02 05:45:00
43.26,43.66,43.26,43.66,37.0,2011-10-09 05:45:00
43.66,43.66,43.66,43.66,28.0,2011-10-10 05:45:00
43.66,44.06,43.46,43.96,271.0,2011-10-12 05:45:00
43.86,44.06,43.46,43.46,850.0,2011-10-13 05:45:00
43.76,43.76,43.26,43.66,1206.0,2011-10-16 05:45:00
43.96,43.96,43.96,43.96,9.0,2011-10-17 05:45:00
43.66,43.66,43.36,43.66,327.0,2011-10-18 05:45:00
43.36,43.66,43.36,43.66,150.0,2011-10-19 05:45:00
43.86,43.86,42.76,42.76,2121.0,2011-10-20 05:45:00
