open,high,low,close,volume,date
208.48,208.48,208.48,208.48,20.0,2019-01-07 05:45:00
205.45,205.45,205.45,205.45,80.0,2019-01-09 05:45:00
205.45,205.45,197.58,202.42,50.0,2019-01-16 20:45:00
202.42,202.42,186.67,186.67,70.0,2019-01-17 20:45:00
186.67,186.67,179.39,179.39,500.0,2019-01-23 20:45:00
179.39,179.39,172.73,172.73,20.0,2019-01-29 20:45:00
166.06,172.73,161.21,161.21,60.0,2019-02-07 20:45:00
155.15,161.21,155.15,155.15,20.0,2019-02-10 20:45:00
149.7,155.15,146.06,146.06,60.0,2019-02-26 20:45:00
141.21,146.06,141.21,141.21,10.0,2019-03-03 20:45:00
136.36,141.21,136.36,136.36,20.0,2019-03-05 20:45:00
131.52,131.52,128.48,128.48,50.0,2019-04-09 20:45:00
124.24,124.24,124.24,124.24,20.0,2019-05-13 20:45:00
120.0,120.0,120.0,120.0,50.0,2019-05-14 20:45:00
116.36,116.36,113.94,113.94,70.0,2019-05-23 20:45:00
110.3,110.3,106.67,106.67,210.0,2019-05-26 20:45:00
103.64,103.64,102.42,102.42,20.0,2019-05-28 20:45:00
99.39,99.39,96.36,96.36,2505.0,2019-05-29 20:45:00
96.97,98.79,95.76,96.36,4586.0,2019-05-30 20:45:00
96.97,96.97,94.55,96.97,1100.0,2019-06-02 20:45:00
96.36,96.36,96.36,96.36,20.0,2019-06-03 20:45:00
95.76,95.76,92.73,92.73,1800.0,2019-06-04 20:45:00
93.33,95.15,93.33,95.15,1820.0,2019-06-06 20:45:00
94.55,97.58,94.55,96.36,3610.0,2019-06-11 20:45:00
95.76,95.76,92.12,93.94,790.0,2019-06-12 20:45:00
93.33,93.33,90.91,92.12,600.0,2019-06-13 20:45:00
91.52,91.52,90.3,91.52,660.0,2019-06-16 20:45:00
90.91,90.91,89.7,90.3,480.0,2019-06-17 20:45:00
89.7,90.3,89.7,90.3,480.0,2019-06-18 20:45:00
89.7,90.91,89.7,90.3,260.0,2019-06-19 20:45:00
87.88,90.91,87.88,90.3,470.0,2019-06-20 20:45:00
89.7,90.3,89.09,89.7,640.0,2019-06-23 20:45:00
89.09,89.7,87.88,89.7,760.0,2019-06-24 20:45:00
89.09,89.7,88.48,89.7,390.0,2019-06-25 20:45:00
89.09,89.7,88.48,89.09,760.0,2019-06-26 20:45:00
88.48,90.3,88.48,89.7,480.0,2019-06-27 20:45:00
87.27,89.09,87.27,88.48,860.0,2019-06-30 20:45:00
87.88,88.48,87.27,87.88,950.0,2019-07-01 20:45:00
88.48,88.48,87.27,87.88,530.0,2019-07-02 20:45:00
87.27,87.88,86.67,86.67,1030.0,2019-07-03 20:45:00
86.67,87.27,86.67,87.27,130.0,2019-07-04 20:45:00
86.67,87.88,86.67,87.27,180.0,2019-07-07 20:45:00
86.67,87.27,86.67,86.67,250.0,2019-07-08 20:45:00
86.06,88.48,86.06,87.27,420.0,2019-07-09 20:45:00
86.67,87.27,86.67,87.27,220.0,2019-07-10 20:45:00
87.27,87.27,85.45,85.45,1050.0,2019-07-11 20:45:00
84.85,86.06,84.85,86.06,290.0,2019-07-14 20:45:00
86.06,86.67,86.06,86.67,100.0,2019-07-15 20:45:00
86.06,87.27,86.06,86.06,370.0,2019-07-16 20:45:00
86.67,87.88,86.67,87.27,450.0,2019-07-17 20:45:00
87.88,87.88,86.06,86.06,170.0,2019-07-18 20:45:00
86.67,87.27,86.06,87.27,270.0,2019-07-21 20:45:00
87.27,87.27,86.06,87.27,520.0,2019-07-22 20:45:00
87.27,87.88,86.67,86.67,280.0,2019-07-23 20:45:00
86.67,87.88,85.45,87.88,410.0,2019-07-24 20:45:00
87.27,87.88,87.27,87.27,380.0,2019-07-25 20:45:00
86.67,86.67,86.67,86.67,190.0,2019-07-28 20:45:00
86.67,86.67,84.24,84.85,160.0,2019-07-29 20:45:00
84.85,85.45,84.24,84.85,440.0,2019-07-30 20:45:00
84.24,85.45,84.24,84.85,330.0,2019-07-31 20:45:00
84.24,85.45,84.24,84.24,330.0,2019-08-01 20:45:00
83.64,84.85,83.64,84.24,480.0,2019-08-04 20:45:00
84.24,84.24,83.64,83.64,230.0,2019-08-05 20:45:00
84.24,84.85,83.64,84.85,650.0,2019-08-06 20:45:00
84.24,84.24,82.42,84.24,200.0,2019-08-07 20:45:00
83.64,85.45,83.64,84.24,680.0,2019-08-08 20:45:00
83.64,83.64,80.61,80.61,1450.0,2019-08-11 20:45:00
80.61,84.24,80.61,83.64,390.0,2019-08-12 20:45:00
83.64,83.64,82.42,82.42,740.0,2019-08-13 20:45:00
81.82,83.03,81.82,82.42,370.0,2019-08-14 20:45:00
82.42,82.42,81.82,81.82,220.0,2019-08-15 20:45:00
81.82,81.82,80.61,81.21,610.0,2019-08-18 20:45:00
80.61,80.61,79.39,80.0,330.0,2019-08-19 20:45:00
79.39,80.0,78.79,80.0,260.0,2019-08-20 20:45:00
79.39,80.61,79.39,80.61,670.0,2019-08-21 20:45:00
80.61,81.21,80.0,80.0,600.0,2019-08-22 20:45:00
79.39,79.39,78.18,79.39,370.0,2019-08-25 20:45:00
78.79,80.0,78.79,79.39,340.0,2019-08-26 20:45:00
78.79,80.61,78.79,80.0,340.0,2019-08-27 20:45:00
79.39,80.61,79.39,80.0,200.0,2019-08-28 20:45:00
80.61,81.21,79.39,79.39,330.0,2019-08-29 20:45:00
78.79,79.39,78.18,78.18,211.0,2019-09-01 20:45:00
77.58,77.58,76.97,76.97,200.0,2019-09-02 20:45:00
76.97,77.58,76.36,76.97,50.0,2019-09-03 20:45:00
76.97,78.18,76.97,77.58,310.0,2019-09-04 20:45:00
76.97,78.18,76.97,78.18,360.0,2019-09-05 20:45:00
77.58,77.58,76.97,76.97,50.0,2019-09-08 20:45:00
76.36,76.36,75.76,75.76,400.0,2019-09-09 20:45:00
76.36,76.36,75.76,76.36,301.0,2019-09-10 20:45:00
76.36,76.97,75.76,76.97,120.0,2019-09-11 20:45:00
76.36,76.97,75.76,76.36,300.0,2019-09-12 20:45:00
76.36,76.36,74.55,75.76,780.0,2019-09-16 20:45:00
75.76,76.36,75.76,76.36,3194.0,2019-09-17 20:45:00
76.36,76.97,76.36,76.97,140.0,2019-09-18 20:45:00
76.36,76.97,75.76,76.97,340.0,2019-09-19 20:45:00
76.36,76.36,73.94,73.94,320.0,2019-09-22 20:45:00
73.33,75.15,73.33,75.15,240.0,2019-09-23 20:45:00
74.55,75.15,74.55,74.55,170.0,2019-09-24 20:45:00
74.55,74.55,73.94,73.94,330.0,2019-09-25 20:45:00
73.33,73.94,72.12,72.12,290.0,2019-09-26 20:45:00
71.52,72.12,71.52,72.12,200.0,2019-09-29 20:45:00
72.12,73.33,72.12,73.33,60.0,2019-09-30 20:45:00
73.33,73.94,73.33,73.33,250.0,2019-10-01 20:45:00
72.73,73.33,72.73,73.33,60.0,2019-10-02 20:45:00
73.94,74.55,73.94,74.55,80.0,2019-10-03 20:45:00
74.55,75.76,74.55,75.76,130.0,2019-10-14 20:45:00
76.36,77.58,76.36,76.97,260.0,2019-10-15 20:45:00
76.36,76.97,76.36,76.97,30.0,2019-10-16 20:45:00
76.97,77.58,76.97,77.58,20.0,2019-10-17 20:45:00
77.58,77.58,76.97,77.58,90.0,2019-10-24 20:45:00
77.58,77.58,76.97,76.97,100.0,2019-10-31 20:45:00
76.97,76.97,76.97,76.97,200.0,2019-11-03 20:45:00
76.97,76.36,75.15,75.15,210.0,2019-11-04 20:45:00
75.15,74.55,74.55,74.55,90.0,2019-11-05 20:45:00
74.55,75.76,73.94,75.76,320.0,2019-11-06 20:45:00
75.76,75.76,75.15,75.76,150.0,2019-11-07 20:45:00
75.15,75.15,75.15,75.15,80.0,2019-11-11 20:45:00
74.55,75.15,73.33,73.33,200.0,2019-11-12 20:45:00
72.73,73.33,72.73,72.73,220.0,2019-11-13 20:45:00
72.73,73.33,71.52,71.52,310.0,2019-11-14 20:45:00
70.91,72.12,70.91,71.52,290.0,2019-11-17 20:45:00
70.91,72.12,70.3,72.12,270.0,2019-11-18 20:45:00
72.73,73.94,72.73,73.94,990.0,2019-11-19 20:45:00
74.55,76.97,74.55,75.76,340.0,2019-11-20 20:45:00
75.15,76.36,74.55,76.36,440.0,2019-11-21 20:45:00
76.36,76.36,75.15,75.76,120.0,2019-11-24 20:45:00
75.76,75.76,74.55,74.55,80.0,2019-11-25 20:45:00
74.55,75.15,73.33,73.33,490.0,2019-11-26 20:45:00
72.73,73.94,72.73,73.94,120.0,2019-11-27 20:45:00
73.94,73.94,72.73,72.73,240.0,2019-11-28 20:45:00
72.12,72.73,72.12,72.12,100.0,2019-12-01 20:45:00
71.52,71.52,70.3,70.91,160.0,2019-12-02 20:45:00
70.3,71.52,70.3,71.52,440.0,2019-12-03 20:45:00
70.91,71.52,70.91,70.91,140.0,2019-12-04 20:45:00
70.91,72.12,70.91,70.91,170.0,2019-12-05 20:45:00
70.91,70.91,70.3,70.91,180.0,2019-12-08 20:45:00
71.52,71.52,71.52,71.52,90.0,2019-12-09 20:45:00
71.52,71.52,70.91,71.52,210.0,2019-12-10 20:45:00
70.91,72.73,70.91,72.12,220.0,2019-12-11 20:45:00
71.52,73.33,70.91,73.33,190.0,2019-12-12 20:45:00
72.73,74.55,72.73,74.55,330.0,2019-12-15 20:45:00
73.94,74.55,73.94,73.94,480.0,2019-12-16 20:45:00
73.33,73.33,72.73,72.73,50.0,2019-12-17 20:45:00
72.12,73.94,72.12,73.94,100.0,2019-12-18 20:45:00
74.55,75.15,73.94,75.15,140.0,2019-12-19 20:45:00
75.15,75.76,74.55,75.76,1950.0,2019-12-22 20:45:00
76.36,76.36,75.76,75.76,240.0,2019-12-23 20:45:00
76.36,78.79,75.76,78.79,2060.0,2019-12-24 20:45:00
78.18,78.18,77.58,77.58,90.0,2019-12-25 20:45:00
77.58,77.58,76.36,76.97,690.0,2019-12-26 20:45:00
