open,high,low,close,volume,date
100.35,107.54,100.35,107.54,60.0,2017-07-25 05:45:00
109.21,117.52,109.21,117.52,70.0,2017-07-26 05:45:00
119.75,128.62,119.75,128.62,30929.0,2017-07-27 05:45:00
130.83,139.7,126.95,127.5,102185.0,2017-07-30 05:45:00
127.5,133.06,123.63,125.85,24722.0,2017-07-31 05:45:00
124.73,130.83,124.73,127.5,26324.0,2017-08-01 05:45:00
127.5,129.73,124.73,127.5,20920.0,2017-08-02 05:45:00
129.73,129.73,124.73,124.73,20630.0,2017-08-03 05:45:00
122.51,126.95,122.51,124.17,25258.0,2017-08-06 05:45:00
126.4,131.94,125.29,131.39,67466.0,2017-08-07 05:45:00
131.39,137.49,129.73,131.94,58843.0,2017-08-09 05:45:00
130.27,131.94,129.73,130.83,13085.0,2017-08-10 05:45:00
130.27,130.27,125.85,128.62,19656.0,2017-08-13 05:45:00
126.4,128.62,124.73,126.95,13441.0,2017-08-15 05:45:00
129.17,129.73,123.63,124.73,31194.0,2017-08-16 05:45:00
123.63,129.17,123.63,128.62,12938.0,2017-08-17 05:45:00
127.5,129.17,124.73,126.4,6669.0,2017-08-20 05:45:00
125.85,127.5,124.17,125.85,6370.0,2017-08-21 05:45:00
125.85,128.05,124.73,125.29,4885.0,2017-08-22 05:45:00
125.85,127.5,123.63,125.85,12790.0,2017-08-23 05:45:00
125.29,126.4,124.73,125.85,8635.0,2017-08-24 05:45:00
127.5,128.05,124.73,125.29,8827.0,2017-08-27 05:45:00
127.5,127.5,124.17,125.29,11794.0,2017-08-28 05:45:00
124.17,124.73,123.07,123.07,6034.0,2017-08-30 05:45:00
124.73,124.73,121.97,122.51,4932.0,2017-08-31 05:45:00
121.41,123.63,119.75,120.86,15033.0,2017-09-04 05:45:00
122.51,124.73,120.29,121.97,8627.0,2017-09-06 05:45:00
120.29,122.51,119.75,121.41,6117.0,2017-09-07 05:45:00
120.86,120.86,118.08,118.64,17434.0,2017-09-10 05:45:00
118.08,119.75,116.41,118.08,6218.0,2017-09-11 05:45:00
117.52,117.52,115.87,116.97,5710.0,2017-09-12 05:45:00
116.97,119.18,116.41,116.41,7189.0,2017-09-13 05:45:00
118.64,120.86,116.97,120.86,3899.0,2017-09-14 05:45:00
121.97,122.51,120.29,120.86,6024.0,2017-09-17 05:45:00
121.97,122.51,119.75,121.41,7145.0,2017-09-18 05:45:00
120.86,123.07,119.75,123.07,7323.0,2017-09-20 05:45:00
124.17,124.17,119.75,120.29,10056.0,2017-09-24 05:45:00
120.86,124.17,120.86,123.07,2424.0,2017-09-25 05:45:00
121.97,124.73,121.97,123.07,2972.0,2017-09-26 05:45:00
125.29,125.85,123.63,123.63,909.0,2017-10-03 05:45:00
121.41,123.63,120.86,120.86,2312.0,2017-10-04 05:45:00
120.29,120.29,116.41,118.64,9664.0,2017-10-08 05:45:00
116.97,120.86,116.41,119.18,8312.0,2017-10-09 05:45:00
117.52,121.41,117.52,121.41,4627.0,2017-10-10 05:45:00
123.63,123.63,120.86,120.86,8138.0,2017-10-11 05:45:00
119.75,121.41,119.75,120.86,2985.0,2017-10-12 05:45:00
121.97,123.07,120.29,123.07,4951.0,2017-10-15 05:45:00
124.17,126.4,119.75,125.85,16004.0,2017-10-16 05:45:00
126.4,126.4,121.97,124.73,21769.0,2017-10-17 05:45:00
124.17,126.4,123.63,126.4,5821.0,2017-10-18 05:45:00
125.29,127.5,124.17,125.29,4072.0,2017-10-22 05:45:00
125.29,126.95,123.63,124.17,7241.0,2017-10-23 05:45:00
123.07,126.4,122.51,124.17,5290.0,2017-10-24 05:45:00
122.51,124.17,122.51,123.07,6070.0,2017-10-25 05:45:00
122.51,123.63,120.86,123.63,11218.0,2017-10-29 05:45:00
122.51,122.51,120.29,120.86,16480.0,2017-10-30 05:45:00
121.41,123.07,120.86,123.07,9957.0,2017-10-31 05:45:00
121.41,121.97,119.75,119.75,12386.0,2017-11-01 05:45:00
120.29,121.97,119.18,121.97,4795.0,2017-11-02 05:45:00
119.75,119.75,118.08,119.18,11688.0,2017-11-05 05:45:00
118.08,119.18,114.2,116.97,19787.0,2017-11-06 05:45:00
118.64,119.18,116.41,116.97,8564.0,2017-11-07 05:45:00
114.75,115.87,114.2,114.75,3530.0,2017-11-08 05:45:00
115.31,117.52,114.75,115.31,3502.0,2017-11-09 05:45:00
115.31,117.52,115.31,116.97,3067.0,2017-11-12 05:45:00
118.08,118.08,115.87,116.41,3826.0,2017-11-13 05:45:00
115.87,120.86,115.31,116.41,10261.0,2017-11-14 05:45:00
114.2,118.64,114.2,116.97,14949.0,2017-11-15 05:45:00
115.31,115.87,114.75,114.75,3546.0,2017-11-16 05:45:00
113.65,115.31,113.65,114.75,6632.0,2017-11-19 05:45:00
115.31,115.31,113.1,113.1,1521.0,2017-11-20 05:45:00
111.99,116.97,111.99,116.97,1224.0,2017-11-21 05:45:00
115.31,115.31,113.65,115.31,3874.0,2017-11-22 05:45:00
114.2,115.31,113.65,115.31,1328.0,2017-11-23 05:45:00
115.87,117.52,114.75,115.87,3732.0,2017-11-26 05:45:00
117.52,117.52,113.65,116.97,5642.0,2017-11-27 05:45:00
114.75,115.31,114.2,114.2,3580.0,2017-11-28 05:45:00
113.1,118.64,113.1,115.87,23541.0,2017-11-29 05:45:00
114.75,117.52,114.2,115.31,3596.0,2017-11-30 05:45:00
114.2,116.97,112.53,115.31,3953.0,2017-12-04 05:45:00
116.41,117.52,114.2,115.87,1379.0,2017-12-05 05:45:00
117.52,117.52,114.75,115.31,4100.0,2017-12-06 05:45:00
116.97,116.97,115.31,115.31,1200.0,2017-12-10 05:45:00
114.2,114.75,114.2,114.75,1701.0,2017-12-11 05:45:00
115.87,115.87,111.99,113.1,3344.0,2017-12-12 05:45:00
111.44,114.2,111.44,114.2,5626.0,2017-12-13 05:45:00
112.53,114.2,112.53,113.65,3106.0,2017-12-14 05:45:00
113.65,114.2,112.53,112.53,2095.0,2017-12-17 05:45:00
111.44,113.1,111.44,111.99,3340.0,2017-12-18 05:45:00
112.53,112.53,111.44,111.44,15143.0,2017-12-19 05:45:00
110.87,112.53,110.32,112.53,6611.0,2017-12-20 05:45:00
110.87,111.44,109.77,109.77,4993.0,2017-12-21 05:45:00
108.65,111.44,108.65,110.87,374.0,2017-12-24 05:45:00
112.53,112.53,105.89,106.44,4380.0,2017-12-26 05:45:00
105.89,106.98,104.78,104.78,5953.0,2017-12-27 05:45:00
103.67,105.33,101.46,103.67,7644.0,2017-12-28 05:45:00
103.67,103.67,100.89,101.46,15182.0,2017-12-31 05:45:00
103.12,105.33,101.46,105.33,6800.0,2018-01-01 05:45:00
105.33,105.89,104.22,105.33,1545.0,2018-01-02 05:45:00
105.33,105.33,102.55,103.12,3272.0,2018-01-03 05:45:00
102.01,104.22,102.01,102.01,9933.0,2018-01-04 05:45:00
100.02,103.67,100.02,101.83,5109.0,2018-01-07 05:45:00
103.67,103.67,99.4,103.07,4945.0,2018-01-08 05:45:00
104.89,104.89,100.62,101.83,2487.0,2018-01-09 05:45:00
100.62,103.67,100.62,101.83,1976.0,2018-01-10 05:45:00
100.02,101.83,100.02,101.83,104.0,2018-01-14 05:45:00
100.02,103.67,98.18,98.18,2420.0,2018-01-16 05:45:00
100.02,100.02,98.18,99.4,1966.0,2018-01-17 05:45:00
100.62,101.23,98.18,98.18,2149.0,2018-01-21 05:45:00
97.56,99.4,97.56,98.8,3074.0,2018-01-22 05:45:00
100.62,101.83,100.02,100.62,5260.0,2018-01-23 05:45:00
101.23,103.67,101.23,103.67,11524.0,2018-01-24 05:45:00
103.67,104.89,103.07,103.67,15458.0,2018-01-25 05:45:00
105.49,105.49,103.07,104.27,4434.0,2018-01-28 05:45:00
106.11,106.11,101.83,103.07,5062.0,2018-01-29 05:45:00
103.07,103.07,100.02,100.02,14565.0,2018-01-31 05:45:00
100.62,102.46,100.02,100.62,12941.0,2018-02-01 05:45:00
102.46,102.46,101.23,101.83,6578.0,2018-02-04 05:45:00
100.62,101.83,100.02,100.02,6928.0,2018-02-05 05:45:00
100.02,101.83,100.02,100.62,1335.0,2018-02-06 05:45:00
100.62,101.23,99.4,101.23,282.0,2018-02-07 05:45:00
101.23,101.23,99.4,100.02,2856.0,2018-02-08 05:45:00
100.02,100.02,98.8,99.4,4672.0,2018-02-11 05:45:00
100.02,101.23,100.02,100.62,3732.0,2018-02-12 05:45:00
100.02,100.62,100.02,100.02,4348.0,2018-02-14 05:45:00
101.83,106.11,100.62,106.11,5899.0,2018-02-15 05:45:00
106.71,106.71,102.46,103.07,18244.0,2018-02-18 05:45:00
103.07,103.07,100.62,101.23,5198.0,2018-02-20 05:45:00
100.02,100.62,99.4,99.4,1196.0,2018-02-21 05:45:00
98.8,102.46,98.8,100.02,3348.0,2018-02-22 05:45:00
100.02,100.62,98.8,98.8,8078.0,2018-02-25 05:45:00
99.4,100.02,98.8,99.4,4530.0,2018-02-26 05:45:00
