open,high,low,close,volume,date
63.5,63.5,60.01,60.12,85563.0,2011-07-15 05:45:00
71.56,74.82,71.56,71.56,1674.0,2011-07-17 05:45:00
71.56,76.62,71.56,72.52,3032.0,2011-07-18 05:45:00
72.65,73.25,70.48,72.89,3824.0,2011-07-19 05:45:00
72.65,72.65,70.24,71.69,2115.0,2011-07-20 05:45:00
70.96,70.96,69.88,69.88,3379.0,2011-07-21 05:45:00
69.64,69.64,66.02,66.02,2463.0,2011-07-24 05:45:00
65.3,65.9,65.3,65.9,494.0,2011-07-25 05:45:00
65.3,66.02,64.94,65.54,1193.0,2011-07-26 05:45:00
65.9,67.23,65.9,66.87,3014.0,2011-07-27 05:45:00
66.14,67.34,65.42,67.23,6488.0,2011-07-28 05:45:00
66.5,66.5,65.3,65.67,3599.0,2011-07-31 05:45:00
65.06,65.54,64.7,65.18,1071.0,2011-08-01 05:45:00
65.42,65.42,64.7,64.94,1011.0,2011-08-02 05:45:00
64.33,64.33,63.62,63.98,1328.0,2011-08-03 05:45:00
63.98,64.7,63.73,64.7,2783.0,2011-08-04 05:45:00
64.1,64.1,62.17,63.62,23312.0,2011-08-07 05:45:00
64.22,64.22,63.62,63.62,1193.0,2011-08-08 05:45:00
63.5,64.1,63.5,63.86,389.0,2011-08-09 05:45:00
63.5,65.42,62.9,65.42,987.0,2011-08-10 05:45:00
64.82,64.82,63.62,64.1,935.0,2011-08-11 05:45:00
63.73,63.73,63.26,63.62,3459.0,2011-08-15 05:45:00
64.22,64.82,62.41,64.82,5214.0,2011-08-16 05:45:00
65.42,65.42,64.82,65.42,191.0,2011-08-17 05:45:00
65.42,65.42,63.62,63.62,2261.0,2011-08-18 05:45:00
64.22,64.82,64.22,64.82,73.0,2011-08-22 05:45:00
65.3,65.3,65.3,65.3,31.0,2011-08-23 05:45:00
65.9,65.9,65.42,65.42,149.0,2011-08-24 05:45:00
66.02,66.02,63.62,63.62,686.0,2011-08-25 05:45:00
63.62,63.73,62.53,62.53,1489.0,2011-08-28 05:45:00
63.13,64.94,63.13,64.94,165.0,2011-08-29 05:45:00
65.54,66.14,65.54,66.14,50.0,2011-08-30 05:45:00
65.42,65.42,63.01,63.01,10143.0,2011-09-01 05:45:00
63.37,64.82,63.01,64.82,2391.0,2011-09-04 05:45:00
64.22,64.22,62.41,62.41,2611.0,2011-09-05 05:45:00
61.81,61.81,61.21,61.81,542.0,2011-09-07 05:45:00
61.21,62.41,61.21,61.81,983.0,2011-09-08 05:45:00
61.21,61.21,61.21,61.21,46.0,2011-09-12 05:45:00
61.81,63.01,61.81,62.41,168.0,2011-09-13 05:45:00
61.93,62.3,61.21,62.3,4209.0,2011-09-14 05:45:00
62.9,62.9,60.25,62.17,26194.0,2011-09-15 05:45:00
62.77,62.77,62.77,62.77,46.0,2011-09-18 05:45:00
62.17,62.17,60.0,62.17,4154.0,2011-09-20 05:45:00
61.57,61.57,60.61,60.61,7316.0,2011-09-21 05:45:00
60.61,61.93,60.61,61.93,3417.0,2011-09-22 05:45:00
61.32,61.69,59.4,61.45,152646.0,2011-09-25 05:45:00
60.97,61.81,60.0,61.81,12706.0,2011-09-26 05:45:00
61.81,62.41,61.81,62.41,133.0,2011-09-27 05:45:00
61.81,61.81,61.21,61.21,1859.0,2011-09-29 05:45:00
61.21,61.21,61.21,61.21,3638.0,2011-10-12 05:45:00
61.21,62.9,61.21,62.9,939.0,2011-10-13 05:45:00
62.3,62.3,61.09,61.69,333.0,2011-10-17 05:45:00
61.21,61.21,61.21,61.21,161.0,2011-10-18 05:45:00
61.81,62.3,61.21,62.3,1682.0,2011-10-19 05:45:00
61.69,61.93,61.09,61.09,574.0,2011-10-20 05:45:00
61.21,61.21,60.97,61.21,289.0,2011-10-23 05:45:00
61.81,61.81,61.21,61.21,110.0,2011-10-25 05:45:00
61.81,61.81,61.81,61.81,252.0,2011-10-31 05:45:00
62.41,64.94,62.41,64.7,4129.0,2011-11-02 05:45:00
65.3,65.3,62.9,62.9,248.0,2011-11-03 05:45:00
62.41,62.41,61.81,62.3,576.0,2011-11-06 05:45:00
61.81,61.81,61.81,61.81,647.0,2011-11-08 05:45:00
61.81,61.81,61.09,61.09,475.0,2011-11-09 05:45:00
61.45,61.69,61.21,61.69,330.0,2011-11-10 05:45:00
61.69,61.81,61.69,61.81,309.0,2011-11-13 05:45:00
61.45,61.45,61.45,61.45,21.0,2011-11-14 05:45:00
61.09,61.09,60.61,60.61,1361.0,2011-11-16 05:45:00
60.97,62.41,60.97,62.41,954.0,2011-11-17 05:45:00
61.93,61.93,61.69,61.69,709.0,2011-11-20 05:45:00
62.3,62.41,61.21,62.41,1188.0,2011-11-21 05:45:00
62.41,62.41,61.09,61.09,889.0,2011-11-22 05:45:00
61.21,61.69,61.21,61.32,388.0,2011-11-23 05:45:00
61.21,61.21,60.61,60.85,553.0,2011-11-24 05:45:00
61.45,61.81,61.21,61.21,351.0,2011-11-28 05:45:00
61.81,61.81,61.81,61.81,55.0,2011-11-29 05:45:00
61.45,61.69,61.45,61.69,633.0,2011-11-30 05:45:00
61.09,61.09,61.09,61.09,24.0,2011-12-01 05:45:00
61.32,61.32,61.32,61.32,92.0,2011-12-04 05:45:00
60.72,60.97,60.25,60.97,1241.0,2011-12-05 05:45:00
60.61,60.61,60.61,60.61,161.0,2011-12-06 05:45:00
60.36,60.36,60.36,60.36,97.0,2011-12-07 05:45:00
60.36,60.61,60.0,60.0,3094.0,2011-12-08 05:45:00
60.12,60.25,59.52,60.0,1301.0,2011-12-11 05:45:00
59.65,59.65,59.52,59.52,183.0,2011-12-12 05:45:00
60.0,60.0,59.89,59.89,119.0,2011-12-13 05:45:00
59.65,60.85,59.65,60.85,459.0,2011-12-14 05:45:00
61.21,61.21,59.52,60.0,5348.0,2011-12-15 05:45:00
61.55,61.55,61.55,61.55,39.0,2011-12-22 05:45:00
61.03,61.82,61.03,61.55,2739.0,2011-12-27 05:45:00
62.09,62.09,61.03,61.03,2227.0,2011-12-28 05:45:00
60.76,60.76,60.5,60.5,862.0,2011-12-29 05:45:00
