open,high,low,close,volume,date
260.11,285.83,260.11,285.83,53050.0,2020-12-16 05:45:00
299.43,313.8,299.43,313.8,82221.0,2020-12-17 05:45:00
328.92,328.92,282.8,286.58,78684.0,2020-12-20 05:45:00
281.29,294.9,259.36,292.63,60950.0,2020-12-21 20:45:00
287.33,287.33,279.77,287.33,32646.0,2020-12-22 20:45:00
287.33,292.63,275.99,282.04,16780.0,2020-12-23 20:45:00
275.99,310.02,275.99,295.65,53120.0,2020-12-24 20:45:00
300.19,309.26,292.63,292.63,72682.0,2020-12-27 20:45:00
287.33,301.7,286.58,296.41,13200.0,2020-12-28 20:45:00
310.02,310.02,288.84,291.87,20180.0,2020-12-29 20:45:00
287.33,297.17,287.33,297.17,11930.0,2020-12-30 20:45:00
291.87,294.9,288.09,289.6,10550.0,2020-12-31 20:45:00
287.33,293.38,285.83,286.58,12200.0,2021-01-03 20:45:00
285.83,291.11,282.8,285.07,11910.0,2021-01-04 20:45:00
280.53,309.26,280.53,289.6,12881.0,2021-01-05 20:45:00
289.6,294.9,287.33,289.6,11846.0,2021-01-06 20:45:00
284.31,291.11,281.29,288.84,8342.0,2021-01-07 20:45:00
284.31,288.84,283.56,285.83,8420.0,2021-01-10 20:45:00
286.58,295.65,283.56,288.84,22075.0,2021-01-11 20:45:00
285.07,289.6,282.8,285.83,11793.0,2021-01-12 20:45:00
284.31,291.11,284.31,290.36,9015.0,2021-01-13 20:45:00
286.58,306.23,286.58,299.43,24735.0,2021-01-17 20:45:00
313.8,313.8,298.68,303.22,18495.0,2021-01-18 20:45:00
297.17,306.23,297.17,302.46,18151.0,2021-01-19 20:45:00
298.68,308.5,296.41,300.19,9485.0,2021-01-20 20:45:00
305.48,329.68,299.43,329.68,40405.0,2021-01-21 20:45:00
317.58,362.19,317.58,362.19,31823.0,2021-01-24 20:45:00
362.19,397.73,348.58,397.73,47755.0,2021-01-25 20:45:00
397.73,406.81,383.37,396.97,26215.0,2021-01-26 20:45:00
377.31,412.1,377.31,406.05,25862.0,2021-01-27 20:45:00
425.71,425.71,393.95,402.27,14435.0,2021-01-28 20:45:00
402.27,404.54,388.66,404.54,21790.0,2021-01-31 20:45:00
397.73,444.61,393.95,444.61,29582.0,2021-02-01 20:45:00
453.69,488.47,437.05,488.47,37690.0,2021-02-02 20:45:00
512.67,534.59,473.35,490.74,34106.0,2021-02-03 20:45:00
481.66,531.57,464.27,511.16,34561.0,2021-02-04 20:45:00
502.83,548.96,496.03,524.77,25785.0,2021-02-07 20:45:00
517.96,530.06,499.05,510.4,24905.0,2021-02-08 20:45:00
534.59,534.59,480.15,483.93,22132.0,2021-02-09 20:45:00
511.91,511.91,470.32,483.93,26200.0,2021-02-10 20:45:00
474.86,483.93,467.3,468.81,15428.0,2021-02-11 20:45:00
465.03,476.37,456.71,463.51,20260.0,2021-02-14 20:45:00
461.24,491.5,461.24,486.2,40120.0,2021-02-15 20:45:00
486.2,491.5,474.1,491.5,28501.0,2021-02-16 20:45:00
481.66,489.98,475.62,480.15,34932.0,2021-02-17 20:45:00
476.37,498.3,476.37,491.5,21616.0,2021-02-18 20:45:00
499.81,506.62,479.39,491.5,40535.0,2021-02-21 20:45:00
499.05,501.32,481.66,489.23,18510.0,2021-02-22 20:45:00
480.15,489.23,480.15,487.71,17585.0,2021-02-23 20:45:00
487.71,495.28,480.15,488.47,20264.0,2021-02-24 20:45:00
491.5,491.5,480.9,486.2,13120.0,2021-02-25 20:45:00
477.89,478.63,465.03,470.32,14411.0,2021-02-28 20:45:00
462.76,480.15,453.69,472.59,14902.0,2021-03-01 20:45:00
496.03,496.03,466.54,467.3,8426.0,2021-03-02 20:45:00
459.74,485.44,459.74,471.83,16220.0,2021-03-03 20:45:00
471.83,488.47,471.83,486.2,12160.0,2021-03-04 20:45:00
