open,high,low,close,volume,date
77.06,77.06,77.06,77.06,10.0,2016-09-05 05:45:00
79.67,79.67,79.67,79.67,10.0,2016-09-08 05:45:00
80.77,80.77,80.77,80.77,10.0,2016-11-24 05:45:00
81.87,85.16,81.87,85.16,50.0,2016-12-06 05:45:00
86.4,88.88,86.4,88.88,92.0,2016-12-15 05:45:00
90.11,91.36,90.11,91.36,20.0,2016-12-18 05:45:00
94.13,98.29,94.13,98.29,40.0,2016-12-21 05:45:00
99.67,105.69,99.67,105.69,50.0,2016-12-26 05:45:00
107.24,107.24,107.24,107.24,10.0,2017-01-19 05:45:00
108.78,110.47,108.78,110.47,41.0,2017-01-23 05:45:00
112.17,112.17,112.17,112.17,10.0,2017-01-24 05:45:00
112.17,112.17,112.17,112.17,18.0,2017-02-06 05:45:00
113.87,117.26,113.87,117.26,30.0,2017-02-09 05:45:00
119.12,122.82,119.12,122.82,74.0,2017-02-12 05:45:00
124.67,126.67,124.67,126.67,20.0,2017-02-13 05:45:00
128.68,128.68,128.68,128.68,10.0,2017-02-14 05:45:00
130.68,132.69,130.68,132.69,20.0,2017-02-26 05:45:00
134.85,139.16,134.85,139.16,30.0,2017-03-01 05:45:00
141.48,143.79,141.48,143.79,41.0,2017-03-02 05:45:00
146.1,146.1,146.1,146.1,10.0,2017-03-14 05:45:00
148.42,148.42,148.42,148.42,4.0,2017-03-20 05:45:00
148.42,153.35,148.42,153.35,50.0,2017-03-21 05:45:00
155.82,158.45,155.82,158.45,27.0,2017-03-22 05:45:00
161.07,161.07,161.07,161.07,10.0,2017-03-26 05:45:00
167.85,173.55,167.85,173.55,61.0,2017-04-06 05:45:00
176.49,176.49,176.49,176.49,10.0,2017-04-09 05:45:00
176.49,182.5,176.49,182.5,35.0,2017-04-11 05:45:00
185.59,185.59,185.59,185.59,20.0,2017-04-12 05:45:00
188.83,188.83,188.83,188.83,10.0,2017-04-13 05:45:00
192.07,202.09,192.07,202.09,40.0,2017-04-20 05:45:00
205.64,205.64,205.64,205.64,20.0,2017-04-24 05:45:00
209.19,209.19,209.19,209.19,10.0,2017-04-26 05:45:00
212.88,227.69,212.88,227.69,312.0,2017-04-27 05:45:00
231.7,235.87,231.7,235.87,22.0,2017-04-30 05:45:00
240.04,244.35,240.04,244.35,28.0,2017-05-04 05:45:00
248.67,262.24,248.67,262.24,43.0,2017-05-07 05:45:00
267.02,286.16,267.02,286.16,75.0,2017-05-08 05:45:00
291.4,307.59,291.4,307.59,54.0,2017-05-09 05:45:00
313.27,313.27,313.27,313.27,10.0,2017-05-11 05:45:00
319.0,319.0,319.0,319.0,10.0,2017-05-15 05:45:00
324.87,348.47,324.87,348.47,72.0,2017-05-17 05:45:00
354.94,380.86,354.94,380.86,575.0,2017-05-18 05:45:00
387.95,416.61,387.95,416.47,478.0,2017-05-21 05:45:00
424.34,455.8,424.34,455.8,1780.0,2017-05-22 05:45:00
464.45,499.0,438.07,447.33,23569.0,2017-05-23 05:45:00
455.03,455.03,416.94,443.16,9195.0,2017-05-24 05:45:00
435.0,435.0,423.88,426.97,4617.0,2017-05-28 05:45:00
418.95,425.73,415.09,421.88,3110.0,2017-05-30 05:45:00
422.65,429.74,404.6,423.88,3194.0,2017-05-31 05:45:00
416.02,416.02,404.45,410.62,3711.0,2017-06-01 05:45:00
409.53,409.53,390.56,399.52,1476.0,2017-06-04 05:45:00
401.06,406.76,400.28,405.07,3213.0,2017-06-05 05:45:00
406.46,415.7,405.07,414.63,2535.0,2017-06-06 05:45:00
422.03,424.05,411.86,412.62,5278.0,2017-06-07 05:45:00
408.77,412.62,405.68,410.31,2104.0,2017-06-08 05:45:00
404.91,404.91,395.35,398.12,2170.0,2017-06-11 05:45:00
391.8,401.06,389.49,400.9,2655.0,2017-06-12 05:45:00
401.06,408.77,386.09,392.88,936.0,2017-06-13 05:45:00
392.88,396.27,387.33,396.27,900.0,2017-06-14 05:45:00
390.26,400.9,385.63,393.35,2083.0,2017-06-15 05:45:00
388.72,393.19,383.79,384.08,1179.0,2017-06-18 05:45:00
384.08,388.57,372.84,374.84,1495.0,2017-06-19 05:45:00
374.07,382.7,370.21,377.14,1178.0,2017-06-20 05:45:00
377.14,380.23,370.51,373.6,777.0,2017-06-21 05:45:00
