open,high,low,close,volume,date
61.77,61.77,61.77,61.77,123.0,2014-06-26 05:45:00
62.5,62.82,62.5,62.82,49.0,2014-07-03 05:45:00
62.82,62.82,62.82,62.82,20.0,2014-07-17 05:45:00
63.55,63.55,63.55,63.55,10.0,2014-07-23 05:45:00
64.28,64.28,64.28,64.28,10.0,2014-08-06 05:45:00
65.13,65.97,65.13,65.97,20.0,2014-08-18 05:45:00
66.91,68.6,66.91,68.6,30.0,2014-08-21 05:45:00
69.43,70.28,69.43,70.28,20.0,2014-08-24 05:45:00
71.22,71.22,71.22,71.22,38.0,2014-08-28 05:45:00
72.16,73.1,72.16,73.1,20.0,2014-08-31 05:45:00
75.62,75.62,75.62,75.62,10.0,2014-09-07 05:45:00
76.67,76.67,76.67,76.67,10.0,2014-09-09 05:45:00
79.3,82.02,79.3,82.02,50.0,2014-09-10 05:45:00
84.96,84.96,84.96,84.96,10.0,2014-09-11 05:45:00
88.01,89.28,88.01,89.28,20.0,2014-09-14 05:45:00
90.53,91.89,90.53,91.89,20.0,2014-09-15 05:45:00
95.36,98.82,95.36,98.82,40.0,2014-09-16 05:45:00
100.29,106.38,100.29,106.38,412.0,2014-09-17 05:45:00
108.06,114.77,108.06,114.77,183.0,2014-09-18 05:45:00
116.56,124.01,116.56,124.01,681.0,2014-09-21 05:45:00
126.0,127.99,113.93,113.93,2189.0,2014-09-22 05:45:00
112.16,112.16,106.38,106.79,959.0,2014-09-23 05:45:00
106.38,108.48,106.38,106.79,262.0,2014-09-24 05:45:00
106.79,106.79,103.86,105.23,288.0,2014-09-28 05:45:00
105.44,111.31,105.44,111.31,246.0,2014-09-29 05:45:00
110.99,112.99,110.47,110.99,519.0,2014-09-30 05:45:00
110.47,110.47,110.47,110.47,20.0,2014-10-08 05:45:00
111.52,112.16,110.47,110.99,94.0,2014-10-09 05:45:00
110.99,114.35,110.9,110.9,203.0,2014-10-12 05:45:00
110.9,112.57,110.9,111.95,266.0,2014-10-13 05:45:00
110.16,110.47,108.8,109.43,130.0,2014-10-14 05:45:00
108.37,110.58,108.37,109.43,113.0,2014-10-15 05:45:00
110.47,112.05,109.94,111.62,273.0,2014-10-16 05:45:00
112.57,112.57,111.52,111.52,124.0,2014-10-19 05:45:00
111.52,111.52,106.28,106.28,278.0,2014-10-20 05:45:00
107.95,107.95,106.38,106.58,208.0,2014-10-21 05:45:00
106.79,106.79,106.28,106.79,94.0,2014-10-22 05:45:00
106.28,115.2,106.28,115.2,89.0,2014-10-26 05:45:00
115.71,118.66,115.71,118.66,123.0,2014-10-27 05:45:00
116.88,117.29,115.51,117.29,264.0,2014-10-28 05:45:00
115.4,115.4,109.43,109.43,188.0,2014-10-30 05:45:00
110.99,111.11,109.32,110.99,252.0,2014-11-02 05:45:00
110.99,110.99,109.32,109.32,60.0,2014-11-03 05:45:00
109.43,109.43,109.43,109.43,40.0,2014-11-04 05:45:00
109.43,109.43,109.43,109.43,10.0,2014-11-05 05:45:00
109.43,112.57,109.43,112.57,126.0,2014-11-06 05:45:00
110.99,110.99,109.43,109.43,119.0,2014-11-10 05:45:00
109.94,109.94,104.9,105.32,66.0,2014-11-11 05:45:00
106.28,108.37,106.28,108.37,324.0,2014-11-12 05:45:00
108.37,108.89,106.7,106.7,171.0,2014-11-13 05:45:00
107.33,108.37,106.28,108.37,93.0,2014-11-16 05:45:00
107.0,108.37,106.79,108.37,51.0,2014-11-17 05:45:00
106.7,106.7,104.7,106.28,272.0,2014-11-18 05:45:00
107.95,109.63,106.28,109.22,329.0,2014-11-19 05:45:00
110.9,112.57,110.9,111.19,637.0,2014-11-20 05:45:00
113.1,113.1,111.34,111.34,120.0,2014-11-23 05:45:00
111.34,111.34,111.34,111.34,10.0,2014-12-03 05:45:00
111.83,111.83,110.59,110.59,29.0,2014-12-08 05:45:00
110.32,110.59,110.32,110.59,113.0,2014-12-09 05:45:00
111.2,111.2,111.2,111.2,20.0,2014-12-15 05:45:00
112.97,112.97,112.35,112.35,20.0,2014-12-16 05:45:00
112.84,112.84,112.84,112.84,10.0,2014-12-17 05:45:00
113.1,113.1,113.1,113.1,10.0,2014-12-18 05:45:00
114.87,114.87,114.87,114.87,10.0,2014-12-21 05:45:00
116.63,120.29,114.87,114.87,972.0,2014-12-22 05:45:00
113.1,115.25,113.1,115.25,227.0,2014-12-23 05:45:00
116.63,116.63,116.63,116.63,197.0,2014-12-28 05:45:00
116.88,123.83,116.88,123.83,1294.0,2014-12-29 05:45:00
125.84,133.91,125.84,133.91,1112.0,2014-12-31 05:45:00
135.93,143.37,135.93,143.37,1061.0,2015-01-01 05:45:00
145.64,155.47,145.64,155.47,686.0,2015-01-04 05:45:00
158.12,166.2,155.6,158.51,593.0,2015-01-05 05:45:00
160.77,161.02,155.98,155.98,578.0,2015-01-06 05:45:00
153.33,153.46,150.92,150.92,178.0,2015-01-07 05:45:00
150.92,155.98,150.92,152.2,401.0,2015-01-08 05:45:00
149.68,153.46,149.68,153.46,104.0,2015-01-11 05:45:00
150.92,150.92,148.41,148.41,20.0,2015-01-12 05:45:00
146.02,147.15,145.89,147.15,70.0,2015-01-13 05:45:00
144.74,144.74,144.74,144.74,93.0,2015-01-14 05:45:00
142.74,145.15,142.74,145.15,20.0,2015-01-18 05:45:00
145.89,145.89,145.89,145.89,10.0,2015-01-20 05:45:00
143.99,143.99,143.99,143.99,30.0,2015-01-26 05:45:00
141.6,141.6,141.6,141.6,90.0,2015-01-27 05:45:00
141.6,141.6,141.6,141.6,63.0,2015-01-28 05:45:00
143.37,143.37,138.84,138.84,190.0,2015-02-02 05:45:00
137.68,139.96,137.68,139.96,95.0,2015-02-03 05:45:00
142.23,144.62,142.23,142.86,115.0,2015-02-04 05:45:00
145.26,145.26,145.26,145.26,63.0,2015-02-05 05:45:00
145.26,145.26,144.62,144.62,160.0,2015-02-09 05:45:00
145.26,150.05,145.26,150.05,93.0,2015-02-10 05:45:00
147.53,150.69,145.89,150.69,593.0,2015-02-11 05:45:00
148.16,148.16,148.16,148.16,141.0,2015-02-12 05:45:00
145.76,145.76,145.76,145.76,63.0,2015-02-15 05:45:00
148.16,155.22,148.16,152.81,758.0,2015-02-16 05:45:00
151.57,151.57,151.05,151.05,173.0,2015-02-18 05:45:00
148.53,148.53,146.02,147.78,80.0,2015-02-24 05:45:00
149.68,150.17,147.15,148.41,192.0,2015-02-25 05:45:00
148.41,148.41,148.41,148.41,10.0,2015-02-26 05:45:00
145.89,148.29,145.89,148.29,20.0,2015-03-01 05:45:00
149.68,152.2,149.68,150.42,576.0,2015-03-02 05:45:00
152.95,155.47,152.95,155.47,102.0,2015-03-04 05:45:00
154.72,154.72,154.72,154.72,30.0,2015-03-09 05:45:00
154.72,155.34,154.72,155.34,93.0,2015-03-11 05:45:00
154.72,154.72,154.72,154.72,97.0,2015-03-12 05:45:00
153.46,153.46,153.46,153.46,17.0,2015-03-15 05:45:00
150.92,150.92,148.41,148.41,138.0,2015-03-16 05:45:00
146.02,148.41,143.62,148.41,242.0,2015-03-17 05:45:00
149.68,149.68,149.56,149.68,96.0,2015-03-18 05:45:00
147.91,149.68,147.91,149.68,75.0,2015-03-19 05:45:00
147.27,147.27,147.27,147.27,63.0,2015-03-23 05:45:00
144.88,144.88,142.49,142.49,24.0,2015-03-25 05:45:00
143.99,144.88,143.99,144.88,24.0,2015-03-26 05:45:00
142.49,142.49,142.49,142.49,12.0,2015-03-29 05:45:00
144.62,144.62,144.62,144.62,10.0,2015-03-30 05:45:00
144.62,144.62,144.62,144.62,83.0,2015-03-31 05:45:00
142.23,142.23,140.85,140.85,27.0,2015-04-02 05:45:00
