open,high,low,close,volume,date
211.5,219.46,187.57,187.57,9577.0,2017-01-09 05:45:00
183.9,183.9,169.19,174.1,70481.0,2017-01-10 05:45:00
177.17,180.22,171.02,174.1,12035.0,2017-01-11 05:45:00
174.1,174.1,171.65,171.65,1685.0,2017-01-12 05:45:00
174.71,174.71,166.74,169.19,5691.0,2017-01-15 05:45:00
166.14,166.14,159.38,159.38,5861.0,2017-01-16 05:45:00
157.54,167.36,156.32,167.36,21098.0,2017-01-17 05:45:00
165.51,165.51,162.45,165.51,15196.0,2017-01-18 05:45:00
164.9,167.97,162.45,164.9,15912.0,2017-01-19 05:45:00
163.07,164.29,159.38,164.29,11336.0,2017-01-22 05:45:00
162.45,162.45,153.25,156.32,21929.0,2017-01-23 05:45:00
153.25,153.25,147.13,147.13,10304.0,2017-01-24 05:45:00
144.67,147.13,133.03,137.93,13164.0,2017-01-25 05:45:00
135.49,137.32,130.57,134.25,7305.0,2017-01-26 05:45:00
136.71,136.71,123.83,123.83,5572.0,2017-01-30 05:45:00
126.29,131.19,125.06,126.29,5814.0,2017-01-31 05:45:00
126.29,138.54,125.06,138.54,6666.0,2017-02-01 05:45:00
140.99,143.45,138.54,139.17,3069.0,2017-02-02 05:45:00
141.61,144.06,136.71,138.54,10333.0,2017-02-05 05:45:00
136.71,144.06,136.71,143.45,16214.0,2017-02-06 05:45:00
143.45,143.45,139.77,142.21,2431.0,2017-02-07 05:45:00
142.21,150.18,141.61,150.18,11204.0,2017-02-08 05:45:00
152.64,153.86,141.61,147.13,24264.0,2017-02-09 05:45:00
144.67,144.67,134.85,135.49,12830.0,2017-02-12 05:45:00
133.03,142.21,123.2,139.77,9848.0,2017-02-13 05:45:00
139.77,142.21,134.85,137.32,10215.0,2017-02-14 05:45:00
139.77,145.9,139.17,144.67,9269.0,2017-02-15 05:45:00
143.45,149.58,140.99,147.13,11339.0,2017-02-16 05:45:00
145.28,148.35,143.45,147.13,7194.0,2017-02-19 05:45:00
148.35,149.58,142.83,144.06,6048.0,2017-02-20 05:45:00
146.51,150.81,144.06,144.06,11285.0,2017-02-21 05:45:00
144.06,154.49,142.21,153.86,23669.0,2017-02-22 05:45:00
154.49,166.14,154.49,159.38,42316.0,2017-02-23 05:45:00
162.45,162.45,153.25,158.78,19321.0,2017-02-26 05:45:00
155.71,160.0,150.81,152.03,310966.0,2017-02-28 05:45:00
150.81,158.78,150.18,153.25,7707.0,2017-03-01 05:45:00
153.25,158.16,153.25,153.25,13144.0,2017-03-02 05:45:00
155.1,160.0,155.1,156.93,7909.0,2017-03-05 05:45:00
156.93,156.93,152.03,152.64,5126.0,2017-03-06 05:45:00
155.1,155.1,153.86,153.86,194.0,2017-03-07 05:45:00
152.03,152.03,152.03,152.03,122.0,2017-03-09 05:45:00
152.03,152.03,145.9,147.13,9135.0,2017-03-13 05:45:00
147.13,147.13,138.54,139.77,19713.0,2017-03-14 05:45:00
136.71,147.13,136.71,147.13,192.0,2017-08-13 05:45:00
149.58,161.83,149.58,161.83,112861.0,2017-08-15 05:45:00
164.9,167.97,153.25,155.1,61187.0,2017-08-16 05:45:00
155.1,158.16,153.25,156.32,18577.0,2017-08-17 05:45:00
156.32,156.93,150.18,152.64,12602.0,2017-08-20 05:45:00
153.25,153.86,147.74,150.81,4225.0,2017-08-21 05:45:00
152.64,156.32,149.58,152.03,8606.0,2017-08-22 05:45:00
150.18,154.49,149.58,150.18,6056.0,2017-08-23 05:45:00
152.64,152.64,150.18,152.03,14584.0,2017-08-24 05:45:00
152.03,154.49,148.35,150.18,25857.0,2017-08-27 05:45:00
149.58,150.18,143.45,145.9,20147.0,2017-08-28 05:45:00
148.35,148.35,140.39,143.45,32015.0,2017-08-30 05:45:00
143.45,145.9,139.77,140.99,32649.0,2017-08-31 05:45:00
138.54,146.51,137.93,140.99,124846.0,2017-09-04 05:45:00
143.45,144.06,138.54,142.83,18204.0,2017-09-06 05:45:00
142.83,142.83,137.32,139.17,26831.0,2017-09-07 05:45:00
136.71,137.93,133.63,134.85,23074.0,2017-09-10 05:45:00
134.25,137.93,133.63,136.71,15650.0,2017-09-11 05:45:00
134.85,137.93,132.41,134.25,10514.0,2017-09-12 05:45:00
136.71,137.32,133.63,133.63,10069.0,2017-09-13 05:45:00
135.49,140.99,131.8,134.85,35355.0,2017-09-14 05:45:00
133.63,139.17,133.63,137.93,11085.0,2017-09-17 05:45:00
140.39,140.39,134.85,139.77,12721.0,2017-09-18 05:45:00
137.32,137.32,134.85,137.32,10210.0,2017-09-20 05:45:00
136.09,137.93,134.85,136.09,8815.0,2017-09-24 05:45:00
137.32,139.17,134.85,136.71,6592.0,2017-09-25 05:45:00
136.09,139.17,136.09,137.32,8594.0,2017-09-26 05:45:00
135.49,138.54,132.41,138.54,6800.0,2017-10-03 05:45:00
137.93,137.93,136.09,136.09,3692.0,2017-10-04 05:45:00
133.63,134.85,131.8,134.85,24867.0,2017-10-08 05:45:00
134.25,134.25,131.19,134.25,15913.0,2017-10-09 05:45:00
134.25,137.32,134.25,134.85,2470.0,2017-10-10 05:45:00
134.85,136.71,133.63,133.63,6723.0,2017-10-11 05:45:00
132.41,137.32,132.41,133.03,10594.0,2017-10-12 05:45:00
133.03,137.93,133.03,134.85,10365.0,2017-10-15 05:45:00
134.85,139.77,134.85,139.17,12111.0,2017-10-16 05:45:00
140.39,140.39,134.25,137.32,10538.0,2017-10-17 05:45:00
136.09,139.77,136.09,139.17,9833.0,2017-10-18 05:45:00
139.17,141.61,137.93,139.17,8875.0,2017-10-22 05:45:00
137.93,140.39,136.71,138.54,9180.0,2017-10-23 05:45:00
136.71,139.17,136.71,137.32,7539.0,2017-10-24 05:45:00
137.93,137.93,135.49,136.71,2109.0,2017-10-25 05:45:00
