open,high,low,close,volume,date
178.82,196.23,178.82,196.23,980.0,2017-11-14 05:45:00
199.59,215.67,199.59,215.67,2490.0,2017-11-15 05:45:00
219.69,219.69,194.23,204.95,16351.0,2017-11-16 05:45:00
200.93,200.93,184.85,186.19,5206.0,2017-11-19 05:45:00
184.19,184.19,168.11,169.45,1770.0,2017-11-20 05:45:00
167.44,168.78,165.43,168.11,1680.0,2017-11-21 05:45:00
171.46,176.81,170.12,170.12,580.0,2017-11-22 05:45:00
168.11,173.48,168.11,168.78,420.0,2017-11-23 05:45:00
168.78,185.52,168.11,177.48,1430.0,2017-11-26 05:45:00
174.14,181.5,170.12,177.48,2928.0,2017-11-27 05:45:00
174.14,177.48,174.14,177.48,376.0,2017-11-28 05:45:00
174.14,180.83,174.14,174.14,1820.0,2017-11-29 05:45:00
174.14,176.81,173.48,174.81,2930.0,2017-11-30 05:45:00
174.81,174.81,168.78,170.79,600.0,2017-12-04 05:45:00
168.78,170.12,168.11,169.45,420.0,2017-12-05 05:45:00
167.44,170.79,166.77,170.79,430.0,2017-12-06 05:45:00
168.11,168.11,167.44,167.44,2287.0,2017-12-10 05:45:00
164.08,166.77,164.08,164.08,240.0,2017-12-11 05:45:00
164.08,169.45,161.42,169.45,160.0,2017-12-12 05:45:00
170.79,170.79,162.08,164.76,843.0,2017-12-13 05:45:00
162.08,162.08,160.75,160.75,70.0,2017-12-14 05:45:00
160.07,162.08,158.06,160.75,220.0,2017-12-17 05:45:00
161.42,161.42,157.4,157.4,110.0,2017-12-18 05:45:00
158.06,158.06,155.38,155.38,210.0,2017-12-19 05:45:00
153.37,155.38,152.71,153.37,500.0,2017-12-20 05:45:00
153.37,153.37,151.36,151.36,240.0,2017-12-21 05:45:00
148.69,152.05,146.01,148.02,1195.0,2017-12-24 05:45:00
145.34,145.34,142.66,144.0,1570.0,2017-12-26 05:45:00
141.32,141.32,135.95,138.64,100.0,2017-12-27 05:45:00
135.95,138.64,135.95,137.97,280.0,2017-12-28 05:45:00
137.97,144.0,133.94,141.32,940.0,2017-12-31 05:45:00
141.32,145.34,141.32,145.34,80.0,2018-01-01 05:45:00
142.66,148.02,142.66,146.01,130.0,2018-01-02 05:45:00
143.33,144.67,143.33,144.67,40.0,2018-01-03 05:45:00
142.0,145.34,142.0,145.34,50.0,2018-01-04 05:45:00
147.35,147.35,144.67,147.35,160.0,2018-01-07 05:45:00
147.35,153.37,147.35,153.37,270.0,2018-01-08 05:45:00
152.05,153.37,152.05,153.37,110.0,2018-01-09 05:45:00
150.69,153.37,148.02,153.37,90.0,2018-01-10 05:45:00
154.05,154.05,148.69,148.69,90.0,2018-01-14 05:45:00
146.01,146.01,144.0,144.0,90.0,2018-01-16 05:45:00
144.0,146.68,142.66,144.67,423.0,2018-01-17 05:45:00
142.0,146.01,142.0,144.0,220.0,2018-01-21 05:45:00
141.32,146.01,141.32,144.67,120.0,2018-01-22 05:45:00
142.0,143.33,142.0,142.66,110.0,2018-01-23 05:45:00
145.34,147.35,143.33,147.35,340.0,2018-01-24 05:45:00
146.01,147.35,144.67,144.67,90.0,2018-01-25 05:45:00
142.0,144.0,142.0,144.0,100.0,2018-01-28 05:45:00
142.66,146.01,142.66,144.0,250.0,2018-01-29 05:45:00
142.66,142.66,139.31,140.65,160.0,2018-01-31 05:45:00
137.97,138.64,137.97,138.64,70.0,2018-02-01 05:45:00
138.64,139.98,138.64,138.64,300.0,2018-02-04 05:45:00
137.97,137.97,136.64,136.64,70.0,2018-02-05 05:45:00
136.64,136.64,136.64,136.64,40.0,2018-02-06 05:45:00
136.64,139.31,136.64,138.64,880.0,2018-02-07 05:45:00
