open,high,low,close,volume,date
98.63,98.63,98.63,98.63,117.0,2010-01-26 05:45:00
97.82,97.82,97.82,97.82,1012.0,2010-02-09 05:45:00
97.0,97.0,96.18,96.3,4129.0,2010-02-11 05:45:00
96.3,96.3,96.3,96.3,172.0,2010-02-18 05:45:00
95.49,95.49,95.49,95.49,2598.0,2010-03-28 05:45:00
95.13,95.13,95.13,95.13,500.0,2010-06-29 05:45:00
95.13,95.13,95.13,95.13,1112.0,2010-06-30 05:45:00
95.13,95.13,95.13,95.13,494.0,2010-07-06 05:45:00
95.13,95.13,95.13,95.13,330.0,2010-08-04 05:45:00
95.13,95.13,95.13,95.13,1486.0,2010-11-11 05:45:00
95.13,95.13,95.13,95.13,56.0,2011-02-22 05:45:00
95.13,95.13,95.13,95.13,40.0,2011-03-07 05:45:00
95.13,95.13,95.13,95.13,2009.0,2011-04-27 05:45:00
95.13,95.13,95.13,95.13,6466.0,2011-05-18 05:45:00
94.33,94.33,93.51,93.51,4070.0,2011-06-29 05:45:00
92.81,92.81,92.81,92.81,1375.0,2011-08-01 05:45:00
92.81,92.81,92.81,92.81,20.0,2011-09-25 05:45:00
92.11,92.11,92.11,92.11,120.0,2011-11-13 05:45:00
91.41,91.41,90.72,90.72,5439.0,2011-11-20 05:45:00
90.02,90.02,86.99,86.99,1126.0,2011-11-28 05:45:00
86.41,86.41,85.83,85.83,107.0,2011-11-29 05:45:00
85.25,85.25,82.57,82.57,1088.0,2012-01-18 05:45:00
82.35,82.35,82.35,82.35,75.0,2012-01-25 05:45:00
82.35,82.35,81.77,81.77,357.0,2012-01-29 05:45:00
81.29,81.29,81.29,81.29,27.0,2012-01-31 05:45:00
81.64,81.64,81.64,81.64,13.0,2012-02-01 05:45:00
81.41,81.41,80.71,80.94,10686.0,2012-02-06 05:45:00
80.49,80.49,80.49,80.49,54.0,2012-02-13 05:45:00
80.02,80.02,80.02,80.02,1201.0,2012-02-15 05:45:00
80.02,80.02,80.02,80.02,48.0,2012-02-28 05:45:00
79.65,79.65,79.54,79.65,270.0,2012-02-29 05:45:00
79.2,79.2,79.2,79.2,39.0,2012-03-01 05:45:00
78.74,78.74,78.26,78.26,163.0,2012-03-04 05:45:00
77.81,77.81,77.81,77.81,377.0,2012-03-06 05:45:00
77.81,77.81,77.81,77.81,13.0,2012-03-11 05:45:00
76.87,76.87,76.87,76.87,46.0,2012-03-19 05:45:00
76.41,76.41,76.06,76.06,375.0,2012-03-21 05:45:00
75.71,75.71,75.36,75.36,1948.0,2012-03-28 05:45:00
75.36,75.36,75.36,75.36,50.0,2012-04-09 05:45:00
75.71,77.57,75.71,77.57,6097.0,2012-04-30 05:45:00
78.04,78.96,78.04,78.96,8082.0,2012-05-07 05:45:00
79.08,79.08,79.08,79.08,3170.0,2012-05-29 05:45:00
76.75,76.75,76.29,76.53,557.0,2012-06-12 05:45:00
76.53,76.98,76.53,76.98,163.0,2012-06-13 05:45:00
77.45,77.45,77.45,77.45,116.0,2012-07-30 05:45:00
77.91,77.91,77.91,77.91,136.0,2012-08-14 05:45:00
77.57,77.57,77.57,77.57,246.0,2012-08-15 05:45:00
78.74,78.74,78.74,78.74,20.0,2012-09-09 05:45:00
79.89,79.89,79.89,79.89,20.0,2012-09-11 05:45:00
81.18,81.18,81.18,81.18,20.0,2012-09-12 05:45:00
82.57,82.57,82.57,82.57,20.0,2012-09-13 05:45:00
83.97,83.97,83.97,83.97,20.0,2012-09-16 05:45:00
85.48,86.06,85.48,86.06,184.0,2012-09-17 05:45:00
86.53,86.53,86.53,86.53,20.0,2012-09-18 05:45:00
87.46,88.16,87.46,87.46,3717.0,2012-09-19 05:45:00
89.09,90.84,89.09,90.84,56.0,2012-09-20 05:45:00
92.7,93.39,92.7,92.7,282.0,2012-09-23 05:45:00
92.11,92.11,90.61,90.61,135.0,2012-09-24 05:45:00
90.48,90.48,89.91,89.91,273.0,2012-11-25 05:45:00
89.44,89.44,86.99,86.99,127.0,2012-12-03 05:45:00
87.58,88.04,87.58,88.04,478.0,2012-12-05 05:45:00
87.58,87.58,87.46,87.46,512.0,2012-12-11 05:45:00
86.99,86.99,86.99,86.99,19.0,2012-12-12 05:45:00
86.99,86.99,86.99,86.99,13.0,2012-12-16 05:45:00
87.11,87.11,87.11,87.11,62.0,2012-12-20 05:45:00
87.11,87.11,87.11,87.11,624.0,2012-12-23 05:45:00
87.7,88.28,87.7,88.28,761.0,2012-12-24 05:45:00
88.97,88.97,88.97,88.97,624.0,2012-12-26 05:45:00
88.97,88.97,88.97,88.97,859.0,2012-12-31 05:45:00
