open,high,low,close,volume,date
54.39,54.39,54.02,54.02,620.0,2012-08-28 05:45:00
54.21,54.58,54.21,54.58,896.0,2012-08-29 05:45:00
54.58,54.95,54.58,54.95,468.0,2012-08-30 05:45:00
55.14,55.33,54.77,54.77,1651.0,2012-09-02 05:45:00
54.77,54.77,54.58,54.58,46.0,2012-09-05 05:45:00
54.58,54.58,54.39,54.39,946.0,2012-09-06 05:45:00
54.58,54.58,54.58,54.58,167.0,2012-09-09 05:45:00
54.39,54.58,54.39,54.58,436.0,2012-09-11 05:45:00
54.58,54.58,54.58,54.58,46.0,2012-09-13 05:45:00
54.58,54.58,54.58,54.58,870.0,2012-09-16 05:45:00
54.58,54.77,54.58,54.77,740.0,2012-09-17 05:45:00
54.77,54.95,54.77,54.77,570.0,2012-09-18 05:45:00
54.77,54.77,54.58,54.77,136.0,2012-09-20 05:45:00
54.77,54.77,54.58,54.58,10758.0,2012-10-02 05:45:00
54.58,54.58,54.58,54.58,23.0,2012-10-03 05:45:00
54.58,54.58,54.58,54.58,254.0,2012-10-04 05:45:00
54.58,54.95,54.58,54.77,622.0,2012-10-07 05:45:00
54.77,54.95,54.77,54.95,531.0,2012-10-08 05:45:00
54.95,55.33,54.95,55.33,1479.0,2012-10-09 05:45:00
55.33,55.33,55.33,55.33,23.0,2012-10-10 05:45:00
55.33,55.33,55.14,55.14,185.0,2012-10-15 05:45:00
54.95,54.95,54.95,54.95,100.0,2012-10-30 05:45:00
54.95,54.95,54.95,54.95,39.0,2012-10-31 05:45:00
54.77,54.77,54.77,54.77,24.0,2012-11-06 05:45:00
54.77,54.77,54.77,54.77,13.0,2012-11-20 05:45:00
54.58,54.58,54.58,54.58,100.0,2012-11-27 05:45:00
54.58,54.58,54.58,54.58,400.0,2012-12-10 05:45:00
54.58,54.58,54.39,54.39,1038.0,2013-01-06 05:45:00
54.39,54.39,54.39,54.39,503.0,2013-01-07 05:45:00
54.39,54.39,54.21,54.21,154.0,2013-01-15 05:45:00
54.39,54.39,54.39,54.39,98.0,2013-01-17 05:45:00
54.39,54.58,54.39,54.58,743.0,2013-01-23 05:45:00
54.77,54.77,54.77,54.77,352.0,2013-01-24 05:45:00
54.77,54.77,54.77,54.77,244.0,2013-01-28 05:45:00
54.77,54.77,54.77,54.77,253.0,2013-01-31 05:45:00
54.95,54.95,54.95,54.95,24.0,2013-02-04 05:45:00
54.77,54.77,54.77,54.77,20.0,2013-02-28 05:45:00
54.95,54.95,54.95,54.95,54.0,2013-04-23 05:45:00
54.95,54.95,54.95,54.95,420.0,2013-04-25 05:45:00
54.77,54.77,54.77,54.77,72.0,2013-04-29 05:45:00
54.77,54.77,54.77,54.77,72.0,2013-04-30 05:45:00
54.77,55.33,54.77,55.33,495.0,2013-06-04 05:45:00
55.33,55.33,55.14,55.14,1575.0,2013-06-05 05:45:00
55.33,55.33,55.14,55.33,813.0,2013-06-06 05:45:00
55.33,55.33,55.33,55.33,132.0,2013-07-01 05:45:00
55.14,55.14,55.14,55.14,100.0,2013-07-04 05:45:00
55.33,55.33,55.33,55.33,142.0,2013-07-29 05:45:00
55.33,55.51,55.33,55.51,375.0,2013-07-30 05:45:00
55.51,55.7,55.51,55.7,33.0,2013-07-31 05:45:00
55.89,55.89,55.7,55.89,327.0,2013-08-01 05:45:00
55.7,55.7,55.7,55.7,160.0,2013-08-05 05:45:00
55.89,55.89,55.7,55.7,5020.0,2013-08-06 05:45:00
55.89,55.89,55.89,55.89,198.0,2013-08-12 05:45:00
55.89,56.26,55.89,56.26,740.0,2013-08-14 05:45:00
56.26,56.64,56.26,56.64,470.0,2013-08-15 05:45:00
56.82,57.38,56.64,57.38,787.0,2013-08-18 05:45:00
57.57,58.13,57.57,58.13,1124.0,2013-08-19 05:45:00
58.32,59.07,58.32,59.07,4380.0,2013-08-20 05:45:00
59.25,60.0,59.07,60.0,2102.0,2013-08-25 05:45:00
60.19,60.93,60.19,60.93,358.0,2013-08-26 05:45:00
61.12,61.5,60.75,60.75,4338.0,2013-08-27 05:45:00
60.93,60.93,60.75,60.75,462.0,2013-08-29 05:45:00
60.56,60.56,59.81,59.81,203.0,2013-09-03 05:45:00
59.63,59.63,59.63,59.63,54.0,2013-09-12 05:45:00
59.44,59.44,59.25,59.25,120.0,2013-10-06 05:45:00
59.07,59.07,58.5,58.5,50.0,2013-10-08 05:45:00
58.32,58.32,57.94,57.94,439.0,2013-10-09 05:45:00
57.94,57.94,57.94,57.94,27.0,2013-10-10 05:45:00
57.76,57.76,57.01,57.01,84.0,2013-10-20 05:45:00
56.82,56.82,56.45,56.45,1088.0,2013-10-21 05:45:00
56.45,56.82,56.45,56.82,1073.0,2013-10-22 05:45:00
56.82,56.82,56.82,56.82,13.0,2013-10-23 05:45:00
57.01,57.57,57.01,57.57,877.0,2013-10-27 05:45:00
57.38,57.76,57.01,57.76,8082.0,2013-10-28 05:45:00
57.94,58.32,57.94,58.13,735.0,2013-10-29 05:45:00
58.13,58.5,58.13,58.13,418.0,2013-10-30 05:45:00
58.13,58.13,58.13,58.13,557.0,2013-10-31 05:45:00
57.94,57.94,57.94,57.94,285.0,2013-11-06 05:45:00
58.13,58.32,58.13,58.32,1443.0,2013-11-07 05:45:00
58.13,58.13,58.13,58.13,305.0,2013-11-11 05:45:00
58.32,58.69,58.32,58.69,47.0,2013-11-14 05:45:00
58.88,58.88,58.88,58.88,791.0,2013-11-21 05:45:00
59.07,59.25,59.07,59.25,791.0,2013-11-24 05:45:00
59.44,59.81,59.44,59.44,2013.0,2013-11-25 05:45:00
59.63,59.81,59.63,59.81,856.0,2013-11-26 05:45:00
60.0,60.0,60.0,60.0,202.0,2013-11-27 05:45:00
60.19,60.37,60.19,60.19,8381.0,2013-11-28 05:45:00
60.37,61.12,60.37,61.12,120.0,2014-06-01 05:45:00
61.31,62.24,61.31,62.24,64.0,2014-06-02 05:45:00
62.62,63.55,62.62,63.55,50.0,2014-06-03 05:45:00
