open,high,low,close,volume,date
81.34,87.63,81.34,86.89,1594.0,2013-07-17 05:45:00
81.85,84.17,81.85,84.17,1218.0,2013-07-18 05:45:00
84.79,87.31,84.79,87.31,1168.0,2013-07-21 05:45:00
87.94,90.76,87.94,90.76,2762.0,2013-07-22 05:45:00
91.5,94.55,91.5,94.55,3481.0,2013-07-23 05:45:00
95.38,98.72,95.38,98.72,9005.0,2013-07-24 05:45:00
99.57,102.29,96.32,98.1,27206.0,2013-07-25 05:45:00
98.1,98.94,97.58,98.62,10677.0,2013-07-28 05:45:00
99.04,102.29,98.94,102.19,7786.0,2013-07-29 05:45:00
101.77,101.77,100.72,101.24,2727.0,2013-07-30 05:45:00
100.3,100.51,99.88,99.99,6706.0,2013-07-31 05:45:00
99.04,99.04,97.79,98.41,2588.0,2013-08-01 05:45:00
98.62,99.04,98.31,98.62,4454.0,2013-08-04 05:45:00
97.79,98.62,97.47,97.58,3101.0,2013-08-05 05:45:00
96.74,98.41,96.74,98.1,2674.0,2013-08-06 05:45:00
98.1,98.2,97.47,98.1,1924.0,2013-08-07 05:45:00
97.26,97.58,97.26,97.47,1791.0,2013-08-08 05:45:00
97.58,97.88,97.58,97.88,380.0,2013-08-11 05:45:00
97.37,98.1,97.37,98.1,1664.0,2013-08-12 05:45:00
97.79,98.2,97.58,97.79,6482.0,2013-08-13 05:45:00
97.26,98.94,97.16,98.94,632.0,2013-08-14 05:45:00
98.1,101.24,98.1,100.72,10711.0,2013-08-15 05:45:00
101.45,105.54,101.24,105.54,9047.0,2013-08-18 05:45:00
105.54,105.85,101.87,104.92,9860.0,2013-08-19 05:45:00
104.92,105.65,103.85,104.28,6659.0,2013-08-20 05:45:00
104.7,104.7,103.65,103.96,2469.0,2013-08-25 05:45:00
104.28,104.92,103.34,103.85,2481.0,2013-08-26 05:45:00
103.85,103.85,102.82,103.55,2491.0,2013-08-27 05:45:00
104.28,104.38,102.82,103.34,4159.0,2013-08-29 05:45:00
102.82,102.82,101.87,102.5,1349.0,2013-09-01 05:45:00
101.77,102.29,101.77,101.77,2933.0,2013-09-02 05:45:00
101.77,101.77,99.88,101.35,4348.0,2013-09-03 05:45:00
101.77,102.08,101.35,101.35,1086.0,2013-09-04 05:45:00
101.66,102.19,101.66,102.19,2687.0,2013-09-05 05:45:00
