open,high,low,close,volume,date
26.47,26.47,26.47,26.47,17.0,2011-07-18 05:45:00
26.99,27.55,26.99,27.55,641.0,2011-07-20 05:45:00
27.55,27.55,27.08,27.12,125.0,2011-07-21 05:45:00
26.85,26.85,26.85,26.85,23.0,2011-07-24 05:45:00
26.4,26.47,26.4,26.47,55.0,2011-07-25 05:45:00
26.47,26.47,26.47,26.47,453.0,2011-07-31 05:45:00
26.99,28.0,26.99,28.0,62.0,2011-08-02 05:45:00
27.59,27.59,27.59,27.59,125.0,2011-08-03 05:45:00
27.55,27.55,27.55,27.55,2.0,2011-08-05 05:45:00
27.55,27.55,27.55,27.55,156.0,2011-08-08 05:45:00
27.3,27.55,27.3,27.55,306.0,2011-08-09 05:45:00
28.0,28.0,28.0,28.0,345.0,2011-08-16 05:45:00
28.0,28.0,28.0,28.0,30.0,2011-08-17 05:45:00
27.55,27.59,27.45,27.59,120.0,2011-08-23 05:45:00
27.55,27.55,27.55,27.55,100.0,2011-08-24 05:45:00
27.08,27.08,26.63,26.63,75.0,2011-08-28 05:45:00
26.16,26.16,26.16,26.16,2655.0,2011-08-29 05:45:00
25.66,25.66,25.66,25.66,12.0,2011-08-30 05:45:00
25.66,26.16,25.66,26.16,375.0,2011-09-01 05:45:00
26.16,26.16,26.16,26.16,30.0,2011-09-04 05:45:00
25.72,25.72,25.72,25.72,27.0,2011-09-06 05:45:00
25.25,25.25,25.25,25.25,60.0,2011-09-07 05:45:00
25.25,25.25,24.75,24.75,147.0,2011-09-13 05:45:00
24.28,24.28,24.28,24.28,45.0,2011-09-18 05:45:00
24.1,24.1,24.1,24.1,15.0,2011-09-19 05:45:00
24.55,25.02,24.55,25.02,40.0,2011-09-25 05:45:00
24.55,24.55,24.55,24.55,42.0,2011-09-26 05:45:00
25.02,25.02,25.02,25.02,15.0,2011-09-29 05:45:00
25.02,25.02,25.02,25.02,12.0,2011-10-09 05:45:00
25.02,25.02,25.02,25.02,15.0,2011-10-10 05:45:00
25.48,25.48,25.48,25.48,30.0,2011-10-24 05:45:00
25.95,25.95,25.95,25.95,20.0,2011-11-02 05:45:00
26.45,27.3,26.45,27.3,50.0,2011-11-03 05:45:00
27.36,27.84,27.36,27.84,34.0,2011-11-06 05:45:00
28.0,28.24,28.0,28.24,225.0,2011-11-08 05:45:00
27.67,28.24,27.67,28.24,133.0,2011-11-09 05:45:00
28.46,30.48,28.46,30.28,635.0,2011-11-10 05:45:00
30.89,30.89,30.75,30.75,414.0,2011-11-13 05:45:00
30.17,30.17,29.15,29.15,224.0,2011-11-14 05:45:00
28.59,28.59,27.55,27.55,4020.0,2011-11-15 05:45:00
27.55,28.0,27.55,27.55,788.0,2011-11-16 05:45:00
27.55,28.09,27.55,28.09,2015.0,2011-11-17 05:45:00
27.55,27.55,27.55,27.55,840.0,2011-11-20 05:45:00
27.59,28.0,27.59,28.0,27.0,2011-11-21 05:45:00
27.59,27.59,27.08,27.08,117.0,2011-11-24 05:45:00
27.08,27.08,27.08,27.08,5.0,2011-11-25 05:45:00
27.59,27.59,27.59,27.59,24.0,2011-11-27 05:45:00
27.64,27.64,27.64,27.64,50.0,2011-11-28 05:45:00
27.3,27.84,27.3,27.84,503.0,2011-12-06 05:45:00
27.73,27.76,27.55,27.55,686.0,2011-12-07 05:45:00
27.05,27.05,27.05,27.05,24.0,2011-12-15 05:45:00
27.08,27.08,27.08,27.08,24.0,2011-12-20 05:45:00
27.08,27.08,27.08,27.08,19.0,2011-12-23 05:45:00
26.58,26.58,26.58,26.58,24.0,2011-12-27 05:45:00
27.08,27.08,27.08,27.08,165.0,2011-12-28 05:45:00
27.5,27.55,27.5,27.55,330.0,2011-12-29 05:45:00
27.05,27.05,25.63,25.63,3045.0,2012-01-04 05:45:00
26.13,26.13,26.13,26.13,375.0,2012-01-05 05:45:00
26.63,28.24,26.63,28.18,250.0,2012-01-12 05:45:00
28.24,28.24,28.24,28.24,13.0,2012-01-13 05:45:00
28.79,28.79,28.79,28.79,200.0,2012-01-16 05:45:00
28.24,28.79,28.24,28.79,80.0,2012-01-17 05:45:00
28.7,28.7,28.7,28.7,45.0,2012-01-22 05:45:00
28.79,28.79,28.5,28.5,525.0,2012-01-23 05:45:00
28.5,28.5,28.5,28.5,376.0,2012-01-26 05:45:00
28.46,28.55,28.46,28.55,150.0,2012-01-29 05:45:00
28.46,29.01,28.46,29.01,250.0,2012-01-31 05:45:00
29.15,29.15,28.96,28.96,560.0,2012-02-01 05:45:00
28.96,28.96,28.96,28.96,50.0,2012-02-02 05:45:00
29.01,29.15,29.01,29.15,45.0,2012-02-05 05:45:00
29.7,29.7,29.7,29.7,200.0,2012-02-06 05:45:00
29.15,29.38,29.15,29.38,1015.0,2012-02-07 05:45:00
29.38,29.38,29.38,29.38,15.0,2012-02-08 05:45:00
29.15,29.38,29.15,29.38,45.0,2012-02-14 05:45:00
29.84,29.84,29.61,29.61,43.0,2012-02-15 05:45:00
29.38,29.44,29.38,29.44,138.0,2012-02-23 05:45:00
29.45,29.45,29.45,29.45,172.0,2012-02-26 05:45:00
30.03,30.03,30.03,30.03,53.0,2012-02-29 05:45:00
29.84,29.84,29.84,29.84,30.0,2012-03-01 05:45:00
29.29,29.29,29.29,29.29,5.0,2012-03-02 05:45:00
29.84,29.84,29.84,29.84,108.0,2012-03-04 05:45:00
30.03,30.28,29.7,29.84,135.0,2012-03-05 05:45:00
29.84,30.28,29.84,30.28,43.0,2012-03-06 05:45:00
29.84,29.84,29.84,29.84,5.0,2012-03-09 05:45:00
30.28,30.28,30.28,30.28,500.0,2012-03-11 05:45:00
29.7,30.25,29.7,30.25,28.0,2012-03-12 05:45:00
30.25,30.25,30.25,30.25,20.0,2012-03-13 05:45:00
30.06,30.06,30.06,30.06,1250.0,2012-03-14 05:45:00
29.61,29.61,29.61,29.61,4395.0,2012-03-19 05:45:00
