open,high,low,close,volume,date
33.37,33.37,33.1,33.1,70.0,2011-07-24 05:45:00
32.81,32.81,32.53,32.53,110.0,2011-07-27 05:45:00
32.26,32.26,32.0,32.0,330.0,2011-07-28 05:45:00
31.76,32.0,31.76,32.0,314.0,2011-08-01 05:45:00
31.76,31.76,31.52,31.52,121.0,2011-08-02 05:45:00
31.56,31.56,31.56,31.56,40.0,2011-08-03 05:45:00
31.38,31.38,31.38,31.38,225.0,2011-08-07 05:45:00
31.38,31.38,31.38,31.38,55.0,2011-08-11 05:45:00
31.14,31.14,31.14,31.14,7000.0,2011-08-16 05:45:00
31.14,31.14,31.14,31.14,20600.0,2011-08-22 05:45:00
31.38,31.38,31.38,31.38,132.0,2011-08-24 05:45:00
31.61,31.61,31.61,31.61,277.0,2011-08-25 05:45:00
31.61,31.61,31.61,31.61,264.0,2011-08-28 05:45:00
31.38,31.38,31.38,31.38,30.0,2011-08-29 05:45:00
31.14,31.14,31.14,31.14,20.0,2011-09-04 05:45:00
31.38,32.34,31.38,32.34,366.0,2011-09-06 05:45:00
32.63,33.72,32.63,33.72,1103.0,2011-09-07 05:45:00
33.47,35.28,33.47,35.28,2917.0,2011-09-08 05:45:00
34.95,34.95,34.03,34.03,335.0,2011-09-12 05:45:00
33.72,33.72,33.19,33.19,267.0,2011-09-19 05:45:00
32.91,33.47,32.91,33.47,729.0,2011-09-20 05:45:00
33.19,34.03,33.19,34.03,961.0,2011-09-21 05:45:00
33.72,33.72,33.24,33.24,15787.0,2011-09-25 05:45:00
33.47,34.44,33.47,33.83,16097.0,2011-09-26 05:45:00
33.7,33.7,33.6,33.6,700.0,2011-09-27 05:45:00
34.28,34.84,34.28,34.84,390.0,2011-10-23 05:45:00
35.1,35.1,35.1,35.1,10.0,2011-10-31 05:45:00
34.99,34.99,34.99,34.99,2121.0,2011-11-03 05:45:00
35.06,35.06,35.06,35.06,150.0,2011-11-06 05:45:00
35.39,36.4,35.06,35.06,786.0,2011-11-08 05:45:00
34.99,34.99,34.99,34.99,264.0,2011-11-10 05:45:00
35.33,35.67,35.33,35.67,1720.0,2011-11-13 05:45:00
35.67,35.67,35.56,35.56,810.0,2011-11-15 05:45:00
35.9,35.9,35.9,35.9,264.0,2011-11-16 05:45:00
36.23,36.57,36.11,36.23,8348.0,2011-11-20 05:45:00
36.57,36.57,36.57,36.57,10.0,2011-11-21 05:45:00
36.91,36.91,36.91,36.91,10.0,2011-11-22 05:45:00
36.57,36.57,36.11,36.11,1754.0,2011-11-23 05:45:00
36.4,36.74,36.4,36.74,6110.0,2011-11-24 05:45:00
37.08,37.08,36.51,36.51,86.0,2011-11-27 05:45:00
36.51,36.51,36.51,36.51,99.0,2011-11-28 05:45:00
36.51,36.51,36.11,36.11,396.0,2011-12-07 05:45:00
36.11,36.11,35.84,35.84,1143.0,2011-12-08 05:45:00
35.56,35.56,35.33,35.33,2000.0,2011-12-15 05:45:00
35.56,36.23,35.56,36.23,356.0,2011-12-20 05:45:00
36.57,37.47,36.57,37.26,135.0,2011-12-21 05:45:00
37.12,37.12,36.79,36.79,80.0,2011-12-22 05:45:00
37.12,38.02,37.12,38.02,150.0,2011-12-26 05:45:00
38.02,38.02,38.02,38.02,234.0,2011-12-27 05:45:00
37.63,37.63,37.63,37.63,132.0,2011-12-28 05:45:00
37.97,39.1,37.97,39.1,130.0,2012-01-12 05:45:00
39.49,39.49,39.49,39.49,20.0,2012-01-16 05:45:00
39.1,39.1,39.1,39.1,50.0,2012-02-02 05:45:00
38.7,38.7,37.02,37.02,444.0,2012-02-06 05:45:00
36.68,36.68,36.33,36.68,412.0,2012-02-07 05:45:00
36.68,36.68,36.4,36.4,198.0,2012-02-12 05:45:00
36.4,36.4,36.4,36.4,66.0,2012-02-14 05:45:00
36.68,36.68,36.68,36.68,571.0,2012-02-15 05:45:00
36.68,36.68,36.51,36.68,298.0,2012-02-16 05:45:00
36.68,36.68,36.68,36.68,269.0,2012-02-21 05:45:00
37.02,37.5,37.02,37.5,1261.0,2012-02-26 05:45:00
37.26,37.26,37.26,37.26,100.0,2012-02-27 05:45:00
37.26,37.26,36.91,36.91,139.0,2012-02-28 05:45:00
37.26,37.26,37.26,37.26,80.0,2012-02-29 05:45:00
37.5,37.5,37.5,37.5,50.0,2012-03-01 05:45:00
37.18,37.18,36.91,36.91,676.0,2012-03-05 05:45:00
36.91,36.91,36.68,36.68,1274.0,2012-03-06 05:45:00
