open,high,low,close,volume,date
115.32,118.69,115.32,118.69,120.0,2021-01-03 05:45:00
120.37,122.06,120.37,122.06,62.0,2021-01-04 05:45:00
127.94,133.0,127.94,133.0,30.0,2021-01-05 05:45:00
135.52,145.62,135.52,145.62,222.0,2021-01-06 05:45:00
148.15,159.94,148.15,159.94,60.0,2021-01-07 05:45:00
162.45,175.93,162.45,175.93,120.0,2021-01-10 05:45:00
179.3,189.4,179.3,189.4,96.0,2021-01-11 05:45:00
192.76,207.92,192.76,207.92,165.0,2021-01-12 05:45:00
218.01,228.11,218.01,228.11,60.0,2021-01-13 05:45:00
232.32,250.84,232.32,250.84,160.0,2021-01-17 05:45:00
240.74,275.25,240.74,275.25,180.0,2021-01-18 05:45:00
280.31,302.19,280.31,302.19,160.0,2021-01-19 05:45:00
308.08,331.65,308.08,331.65,210.0,2021-01-20 05:45:00
319.86,364.48,319.86,364.48,380.0,2021-01-21 05:45:00
378.79,400.68,378.79,400.68,420.0,2021-01-24 05:45:00
420.04,440.23,420.04,440.23,990.0,2021-01-25 05:45:00
462.12,484.01,462.12,484.01,1521.0,2021-01-26 05:45:00
507.57,531.99,507.57,531.99,10341.0,2021-01-27 05:45:00
558.08,585.02,558.08,585.02,72311.0,2021-01-28 05:45:00
613.64,643.1,580.81,643.1,375374.0,2021-01-31 05:45:00
673.4,707.07,620.37,707.07,142477.0,2021-02-01 05:45:00
742.43,777.78,742.43,777.78,108228.0,2021-02-02 05:45:00
742.43,777.78,742.43,777.78,108188.0,2021-02-02 05:45:00
816.5,855.22,733.17,779.46,193515.0,2021-02-03 05:45:00
799.67,799.67,723.91,751.69,154064.0,2021-02-04 05:45:00
723.91,750.84,698.66,738.21,133101.0,2021-02-07 05:45:00
738.21,752.53,719.69,720.54,96559.0,2021-02-08 05:45:00
718.85,723.91,700.33,713.81,49114.0,2021-02-09 05:45:00
715.49,718.85,704.55,707.92,40398.0,2021-02-10 05:45:00
702.86,708.75,691.92,696.97,58676.0,2021-02-11 05:45:00
715.49,765.99,707.07,723.91,48436.0,2021-02-14 05:45:00
760.1,760.1,723.91,733.17,45459.0,2021-02-15 05:45:00
769.36,769.36,723.91,731.48,33311.0,2021-02-16 05:45:00
731.48,732.32,705.39,717.18,44080.0,2021-02-17 05:45:00
723.91,723.91,702.86,707.92,35463.0,2021-02-18 05:45:00
672.56,707.92,672.56,697.81,37384.0,2021-02-21 05:45:00
698.66,700.33,690.23,692.76,25110.0,2021-02-22 05:45:00
692.76,692.76,677.61,678.45,11239.0,2021-02-23 05:45:00
673.4,710.44,673.4,689.4,24746.0,2021-02-24 05:45:00
681.81,698.66,678.45,680.97,31374.0,2021-02-25 05:45:00
680.97,681.81,660.78,663.3,37966.0,2021-02-28 05:45:00
657.41,682.66,642.26,665.82,25488.0,2021-03-01 05:45:00
665.82,673.4,640.57,649.83,24210.0,2021-03-02 05:45:00
641.42,645.62,627.1,629.63,27365.0,2021-03-03 05:45:00
624.58,652.36,624.58,648.15,27492.0,2021-03-04 05:45:00
648.15,654.88,629.63,640.57,16817.0,2021-03-07 05:45:00
631.31,639.73,627.1,633.0,19698.0,2021-03-09 05:45:00
623.74,631.31,623.74,627.1,12755.0,2021-03-10 05:45:00
622.9,622.9,610.27,616.16,24868.0,2021-03-14 05:45:00
586.7,616.16,586.7,603.54,18931.0,2021-03-15 05:45:00
603.54,619.53,597.64,603.54,16119.0,2021-03-16 05:45:00
603.54,610.27,597.64,609.43,18347.0,2021-03-17 05:45:00
610.27,626.26,603.54,626.26,18475.0,2021-03-18 05:45:00
622.9,649.83,618.69,649.83,24819.0,2021-03-21 05:45:00
649.83,669.19,633.0,635.52,20854.0,2021-03-22 05:45:00
635.52,635.52,622.9,630.47,15760.0,2021-03-23 05:45:00
633.0,639.73,620.37,638.05,20644.0,2021-03-24 05:45:00
606.9,664.98,606.9,638.89,23105.0,2021-03-25 05:45:00
638.89,643.1,628.79,635.52,15859.0,2021-03-29 05:45:00
635.52,690.23,635.52,690.23,56791.0,2021-03-30 05:45:00
715.49,719.69,701.18,704.55,36033.0,2021-04-01 05:45:00
723.91,723.91,686.03,691.92,31556.0,2021-04-01 05:45:00
726.44,726.44,685.19,707.92,51693.0,2021-04-04 05:45:00
715.49,715.49,691.07,694.44,25763.0,2021-04-05 05:45:00
707.07,707.07,680.14,680.97,28130.0,2021-04-06 05:45:00
680.97,681.81,673.4,675.08,18464.0,2021-04-07 05:45:00
708.75,708.75,669.19,674.24,17795.0,2021-04-08 05:45:00
681.81,694.44,660.78,674.24,34071.0,2021-04-12 05:45:00
673.4,676.77,663.3,673.4,15193.0,2021-04-13 05:45:00
707.07,707.07,669.19,670.88,22334.0,2021-04-15 05:45:00
670.88,671.71,661.62,661.62,18328.0,2021-04-18 05:45:00
674.24,700.33,652.36,655.72,14898.0,2021-04-19 05:45:00
655.72,668.35,647.31,654.04,15616.0,2021-04-20 05:45:00
654.04,656.56,648.99,648.99,15909.0,2021-04-21 05:45:00
647.31,667.51,640.57,656.56,22450.0,2021-04-22 05:45:00
656.56,668.35,631.31,636.36,24975.0,2021-04-25 05:45:00
631.31,633.84,618.69,619.53,28888.0,2021-04-26 05:45:00
610.27,655.72,610.27,655.72,18203.0,2021-04-27 05:45:00
660.78,676.77,639.73,658.25,25787.0,2021-04-28 05:45:00
677.61,677.61,647.31,664.98,17443.0,2021-04-29 05:45:00
657.41,683.5,657.41,679.3,55214.0,2021-05-02 05:45:00
677.61,692.76,666.67,668.35,34573.0,2021-05-03 05:45:00
656.56,676.77,656.56,670.04,17638.0,2021-05-04 05:45:00
637.2,678.45,637.2,670.88,21153.0,2021-05-05 05:45:00
677.61,698.66,673.4,680.14,51426.0,2021-05-06 05:45:00
681.81,681.81,660.78,670.88,16709.0,2021-05-09 05:45:00
661.62,673.4,660.78,669.19,13628.0,2021-05-10 05:45:00
660.78,673.4,660.78,670.88,19089.0,2021-05-11 05:45:00
671.71,677.61,663.3,666.67,11947.0,2021-05-12 05:45:00
664.98,670.04,662.45,664.14,16275.0,2021-05-13 05:45:00
664.14,689.4,664.14,684.34,45765.0,2021-05-16 05:45:00
684.34,697.81,679.3,680.14,34113.0,2021-05-17 05:45:00
690.23,690.23,673.4,682.66,24974.0,2021-05-18 05:45:00
684.34,699.49,675.93,686.03,44202.0,2021-05-19 05:45:00
694.44,694.44,675.93,678.45,16468.0,2021-05-20 05:45:00
672.56,679.3,662.45,676.77,26948.0,2021-05-23 05:45:00
678.45,686.03,669.19,672.56,26994.0,2021-05-24 05:45:00
669.19,712.12,669.19,688.56,70620.0,2021-05-25 05:45:00
688.56,691.92,677.61,689.4,32410.0,2021-05-27 05:45:00
689.4,711.28,689.4,702.02,87587.0,2021-05-30 05:45:00
668.35,720.54,668.35,687.71,62337.0,2021-05-31 05:45:00
690.23,698.66,687.71,680.14,25378.0,2021-06-01 05:45:00
680.14,698.66,677.61,681.81,21938.0,2021-06-02 05:45:00
679.3,695.29,679.3,682.66,30447.0,2021-06-03 05:45:00
682.66,682.66,673.4,676.77,37489.0,2021-06-06 05:45:00
676.77,689.4,675.08,678.45,21744.0,2021-06-07 05:45:00
677.61,715.49,677.61,699.49,60903.0,2021-06-08 05:45:00
699.49,724.75,687.71,693.6,51309.0,2021-06-09 05:45:00
690.23,698.66,690.23,685.19,23389.0,2021-06-10 05:45:00
681.81,707.92,681.81,686.03,36754.0,2021-06-13 05:45:00
686.03,698.66,683.5,691.92,36571.0,2021-06-14 05:45:00
715.49,715.49,687.71,687.71,35903.0,2021-06-15 05:45:00
675.08,694.44,673.4,677.61,35768.0,2021-06-16 05:45:00
677.61,690.23,677.61,678.45,22147.0,2021-06-17 05:45:00
678.45,685.19,666.67,667.51,26508.0,2021-06-20 05:45:00
673.4,673.4,648.15,648.15,27905.0,2021-06-21 05:45:00
652.36,669.19,646.46,666.67,19510.0,2021-06-22 05:45:00
666.67,671.71,647.31,649.83,18976.0,2021-06-23 05:45:00
638.05,652.36,638.05,644.78,13179.0,2021-06-24 05:45:00
634.68,651.52,634.68,642.26,16194.0,2021-06-27 05:45:00
648.15,648.15,643.1,645.62,10549.0,2021-06-28 05:45:00
645.62,648.15,635.52,635.52,12476.0,2021-06-29 05:45:00
604.38,638.89,604.38,628.79,13172.0,2021-06-30 05:45:00
631.31,643.94,623.74,635.52,12732.0,2021-07-01 05:45:00
635.52,648.15,624.58,633.84,10023.0,2021-07-04 05:45:00
