open,high,low,close,volume,date
75.39,76.55,75.39,76.55,30.0,2017-02-08 05:45:00
77.12,77.12,77.12,77.12,10.0,2017-02-21 05:45:00
77.8,79.84,77.8,79.84,50.0,2017-02-23 05:45:00
80.5,81.85,80.5,81.85,30.0,2017-02-26 05:45:00
82.63,85.73,82.63,85.73,72.0,2017-03-01 05:45:00
86.49,89.88,86.49,89.88,58.0,2017-03-02 05:45:00
90.75,94.51,90.75,94.51,90.0,2017-03-05 05:45:00
95.48,98.57,95.48,98.57,54.0,2017-03-06 05:45:00
99.63,104.07,99.63,104.07,236.0,2017-03-07 05:45:00
105.23,110.16,105.23,110.16,58.0,2017-03-09 05:45:00
113.45,116.84,113.45,116.84,182.0,2017-03-13 05:45:00
118.3,119.74,118.3,119.74,50.0,2017-03-21 05:45:00
121.19,121.19,121.19,121.19,14.0,2017-03-22 05:45:00
125.08,125.08,125.08,125.08,14.0,2017-03-29 05:45:00
126.63,126.63,126.63,126.63,14.0,2017-04-04 05:45:00
126.63,126.63,126.63,126.63,10.0,2017-04-10 05:45:00
128.3,128.3,128.3,128.3,10.0,2017-04-13 05:45:00
129.97,131.63,129.97,131.63,20.0,2017-04-18 05:45:00
133.31,133.31,133.31,133.31,10.0,2017-04-24 05:45:00
135.08,138.63,135.08,138.63,38.0,2017-04-25 05:45:00
140.53,142.43,140.53,142.43,28.0,2017-04-26 05:45:00
144.32,144.32,144.32,144.32,10.0,2017-04-27 05:45:00
144.32,144.32,144.32,144.32,20.0,2017-04-30 05:45:00
146.32,152.44,146.32,152.44,44.0,2017-05-02 05:45:00
154.55,154.55,154.55,154.55,10.0,2017-05-04 05:45:00
156.78,156.78,156.78,156.78,10.0,2017-05-08 05:45:00
158.99,158.99,158.99,158.99,10.0,2017-05-09 05:45:00
162.45,164.77,162.45,164.77,24.0,2017-05-11 05:45:00
164.77,164.77,164.77,164.77,10.0,2017-05-16 05:45:00
167.11,172.0,167.11,172.0,30.0,2017-05-21 05:45:00
174.56,177.11,174.56,177.11,20.0,2017-05-22 05:45:00
179.79,185.24,179.79,185.24,38.0,2017-05-23 05:45:00
188.01,199.35,188.01,199.35,80.0,2017-05-24 05:45:00
202.47,212.03,202.47,212.03,40.0,2017-05-28 05:45:00
215.37,218.7,215.37,218.7,20.0,2017-05-30 05:45:00
222.16,232.93,222.16,232.93,54.0,2017-05-31 05:45:00
236.72,240.49,236.72,240.49,20.0,2017-06-01 05:45:00
244.39,260.18,244.39,260.18,58.0,2017-06-04 05:45:00
264.52,281.87,264.52,281.87,60.0,2017-06-05 05:45:00
286.54,305.66,286.54,305.66,60.0,2017-06-06 05:45:00
310.88,331.9,310.88,331.9,68.0,2017-06-07 05:45:00
337.58,360.7,337.58,360.7,178.0,2017-06-08 05:45:00
367.04,392.39,367.04,392.39,4040.0,2017-06-11 05:45:00
399.28,427.31,371.83,384.49,17573.0,2017-06-12 05:45:00
377.84,380.61,371.15,376.71,6005.0,2017-06-13 05:45:00
376.49,376.49,363.59,364.82,2670.0,2017-06-14 05:45:00
361.14,377.72,358.91,365.7,3317.0,2017-06-15 05:45:00
365.7,364.49,360.04,361.25,1279.0,2017-06-18 05:45:00
360.04,361.59,357.81,358.81,910.0,2017-06-19 05:45:00
356.7,363.37,356.15,358.91,1464.0,2017-06-20 05:45:00
358.91,368.58,356.81,360.7,702.0,2017-06-21 05:45:00
360.8,364.49,356.81,364.49,1405.0,2017-06-22 05:45:00
358.14,375.6,358.14,372.26,1034.0,2017-06-25 05:45:00
372.26,375.6,365.6,365.6,1136.0,2017-06-27 05:45:00
365.6,371.72,365.6,368.48,1203.0,2017-06-28 05:45:00
365.6,371.72,365.6,368.93,898.0,2017-07-02 05:45:00
365.6,367.82,365.6,367.26,522.0,2017-07-03 05:45:00
367.26,368.93,364.7,366.7,358.0,2017-07-04 05:45:00
367.82,378.83,366.7,378.83,617.0,2017-07-05 05:45:00
380.05,380.05,373.39,379.5,1798.0,2017-07-06 05:45:00
382.27,386.16,366.16,369.49,1222.0,2017-07-09 05:45:00
367.82,374.48,369.38,371.15,861.0,2017-07-10 05:45:00
371.15,376.71,370.48,374.48,1698.0,2017-07-11 05:45:00
374.48,374.48,371.15,373.95,993.0,2017-07-12 05:45:00
370.05,371.15,363.93,371.15,898.0,2017-07-13 05:45:00
371.15,368.16,365.92,367.82,1030.0,2017-07-16 05:45:00
368.93,374.48,365.7,370.16,1115.0,2017-07-17 05:45:00
