open,high,low,close,volume,date
82.9,82.9,82.9,82.9,10.0,2011-11-16 05:45:00
82.01,82.01,82.01,82.01,50.0,2011-11-20 05:45:00
79.79,79.79,79.79,79.79,110.0,2011-11-28 05:45:00
79.03,79.03,76.82,76.82,180.0,2011-12-01 05:45:00
77.52,77.52,76.74,76.74,180.0,2012-01-18 05:45:00
75.98,75.98,75.98,75.98,170.0,2012-04-01 05:45:00
75.2,75.2,74.44,74.44,270.0,2012-04-30 05:45:00
73.81,73.81,73.81,73.81,20.0,2012-05-07 05:45:00
71.97,71.97,71.97,71.97,1240.0,2012-05-20 05:45:00
70.9,70.9,70.9,70.9,1240.0,2012-05-29 05:45:00
69.19,69.19,69.19,69.19,50.0,2012-07-10 05:45:00
67.65,67.65,67.65,67.65,50.0,2012-07-12 05:45:00
67.03,67.03,67.03,67.03,70.0,2012-07-16 05:45:00
66.41,66.41,66.41,66.41,270.0,2012-07-17 05:45:00
65.95,65.95,65.95,65.95,20.0,2012-07-26 05:45:00
65.5,65.5,65.5,65.5,500.0,2012-08-12 05:45:00
64.11,64.11,64.11,64.11,1320.0,2012-08-19 05:45:00
62.72,62.72,62.72,62.72,110.0,2012-08-26 05:45:00
62.26,62.26,60.1,60.1,60.0,2012-09-09 05:45:00
59.63,59.63,58.86,58.86,30.0,2012-09-25 05:45:00
58.55,58.55,58.24,58.24,70.0,2012-09-26 05:45:00
57.94,57.94,57.33,57.33,60.0,2012-09-27 05:45:00
57.02,57.02,55.31,55.31,200.0,2012-10-02 05:45:00
55.0,55.0,53.46,53.46,4850.0,2012-10-03 05:45:00
53.16,53.62,52.53,53.31,4670.0,2012-10-04 05:45:00
53.62,53.62,52.53,53.46,3980.0,2012-10-07 05:45:00
53.31,53.78,53.16,53.78,2710.0,2012-10-08 05:45:00
53.46,53.62,53.31,53.46,2770.0,2012-10-09 05:45:00
53.78,53.78,53.46,53.46,390.0,2012-10-10 05:45:00
53.78,53.78,53.78,53.78,50.0,2012-10-11 05:45:00
53.62,53.62,53.31,53.31,2020.0,2012-10-14 05:45:00
53.46,54.39,53.46,54.39,820.0,2012-10-15 05:45:00
54.7,54.7,54.39,54.7,1090.0,2012-10-18 05:45:00
54.39,54.54,54.39,54.54,780.0,2012-10-30 05:45:00
54.86,55.0,54.7,55.0,760.0,2012-10-31 05:45:00
54.7,54.86,54.54,54.7,550.0,2012-11-01 05:45:00
55.0,55.0,54.39,54.7,660.0,2012-11-04 05:45:00
55.0,55.31,55.0,55.31,1440.0,2012-11-05 05:45:00
55.47,55.93,55.47,55.93,490.0,2012-11-06 05:45:00
56.08,56.08,55.93,55.93,220.0,2012-11-07 05:45:00
56.25,56.25,56.25,56.25,720.0,2012-11-21 05:45:00
55.93,55.93,55.62,55.62,470.0,2012-11-22 05:45:00
55.31,55.31,54.09,54.09,660.0,2012-11-25 05:45:00
54.39,54.39,54.09,54.09,560.0,2012-11-26 05:45:00
54.23,54.23,54.23,54.23,2530.0,2012-11-27 05:45:00
54.54,54.54,54.54,54.54,520.0,2012-11-28 05:45:00
54.23,54.23,54.23,54.23,750.0,2012-11-29 05:45:00
54.09,54.09,54.09,54.09,80.0,2012-12-03 05:45:00
54.23,54.39,54.09,54.39,310.0,2012-12-04 05:45:00
54.23,54.39,54.23,54.23,730.0,2012-12-05 05:45:00
54.23,54.54,54.23,54.39,1180.0,2012-12-06 05:45:00
54.23,54.39,54.09,54.09,1430.0,2012-12-09 05:45:00
54.39,54.39,54.09,54.09,200.0,2012-12-10 05:45:00
53.78,54.39,53.78,54.39,910.0,2012-12-11 05:45:00
