open,high,low,close,volume,date
374.14,374.14,337.04,337.04,3920.0,2019-03-24 20:45:00
320.92,320.92,303.99,303.99,90.0,2019-03-25 20:45:00
289.47,289.47,274.15,274.15,500.0,2019-03-26 20:45:00
260.44,282.22,246.73,274.15,170472.0,2019-03-27 20:45:00
260.44,284.63,260.44,268.51,78450.0,2019-03-28 20:45:00
270.12,270.12,260.44,262.05,32407.0,2019-03-31 20:45:00
260.44,267.7,258.83,266.09,31990.0,2019-04-01 20:45:00
263.67,270.93,262.05,265.28,38720.0,2019-04-02 20:45:00
263.67,265.28,261.25,262.05,18011.0,2019-04-03 20:45:00
266.09,266.09,258.03,258.83,33290.0,2019-04-04 20:45:00
257.22,259.64,256.42,258.03,14305.0,2019-04-07 20:45:00
259.64,266.09,258.03,265.28,53402.0,2019-04-08 20:45:00
260.44,260.44,248.35,249.96,14819.0,2019-04-09 20:45:00
245.93,250.77,245.93,248.35,14774.0,2019-04-10 20:45:00
247.54,249.96,246.73,246.73,16100.0,2019-04-11 20:45:00
245.12,248.35,245.12,248.35,4335.0,2019-04-15 20:45:00
248.35,251.58,247.54,250.77,14905.0,2019-04-16 20:45:00
245.93,249.96,241.9,249.16,17750.0,2019-04-18 20:45:00
250.77,250.77,244.32,245.93,18065.0,2019-04-21 20:45:00
245.93,250.77,245.12,245.93,20035.0,2019-04-22 20:45:00
246.73,250.77,245.93,249.96,23310.0,2019-04-23 20:45:00
246.73,250.77,245.93,247.54,22930.0,2019-04-24 20:45:00
246.73,250.77,246.73,249.96,20838.0,2019-04-25 20:45:00
249.96,267.7,249.96,261.25,45502.0,2019-04-28 20:45:00
260.44,264.48,254.8,258.03,28956.0,2019-04-29 20:45:00
257.22,266.09,254.8,264.48,22059.0,2019-04-30 20:45:00
259.64,281.41,259.64,277.37,74542.0,2019-05-02 20:45:00
278.99,299.95,272.54,288.67,129045.0,2019-05-05 20:45:00
302.38,316.89,286.25,312.86,132126.0,2019-05-06 20:45:00
314.47,318.5,304.79,305.6,127407.0,2019-05-07 20:45:00
302.38,320.92,302.38,314.47,105925.0,2019-05-08 20:45:00
309.64,338.65,309.64,331.4,124569.0,2019-05-09 20:45:00
333.02,364.46,330.59,364.46,153906.0,2019-05-12 20:45:00
366.88,400.75,366.88,400.75,233289.0,2019-05-13 20:45:00
408.01,440.26,408.01,440.26,157535.0,2019-05-14 20:45:00
462.03,475.73,414.45,419.29,237479.0,2019-05-15 20:45:00
419.29,461.23,403.97,461.23,245337.0,2019-05-16 20:45:00
483.8,507.19,459.61,507.19,306224.0,2019-05-19 20:45:00
532.18,546.7,467.67,479.77,399171.0,2019-05-20 20:45:00
483.8,490.25,449.13,471.71,118395.0,2019-05-21 20:45:00
463.64,470.9,439.45,443.48,110790.0,2019-05-22 20:45:00
443.48,466.86,428.97,441.06,73193.0,2019-05-23 20:45:00
443.48,474.93,437.03,451.54,84403.0,2019-05-26 20:45:00
451.54,481.38,448.32,474.12,125412.0,2019-05-27 20:45:00
474.12,520.89,472.51,520.89,265038.0,2019-05-28 20:45:00
546.7,572.49,524.12,547.5,298013.0,2019-05-29 20:45:00
574.1,574.1,516.06,532.99,255064.0,2019-05-30 20:45:00
536.21,553.95,516.06,541.05,140252.0,2019-06-02 20:45:00
542.66,544.27,524.12,528.14,92219.0,2019-06-03 20:45:00
524.12,554.76,518.47,544.27,180829.0,2019-06-04 20:45:00
552.34,554.76,541.85,546.7,114304.0,2019-06-06 20:45:00
