open,high,low,close,volume,date
119.67,119.67,119.67,119.67,10.0,2014-01-22 05:45:00
121.36,128.7,121.36,128.7,60.0,2014-01-23 05:45:00
133.5,133.5,133.5,133.5,10.0,2014-01-26 05:45:00
135.48,141.41,135.48,141.41,40.0,2014-01-27 05:45:00
143.66,152.68,143.66,152.68,252.0,2014-01-28 05:45:00
154.95,165.11,154.95,165.11,1380.0,2014-01-29 05:45:00
167.65,178.65,167.65,178.65,64607.0,2014-02-02 05:45:00
181.48,181.48,167.93,169.35,64378.0,2014-02-03 05:45:00
169.05,169.05,155.79,167.65,19086.0,2014-02-04 05:45:00
167.65,170.19,167.65,169.63,14465.0,2014-02-05 05:45:00
169.35,176.96,168.78,174.7,12863.0,2014-02-06 05:45:00
174.7,174.99,169.35,173.59,17399.0,2014-02-09 05:45:00
176.4,182.05,172.45,176.12,11836.0,2014-02-10 05:45:00
174.99,175.84,172.16,173.86,21014.0,2014-02-11 05:45:00
172.16,172.73,169.35,172.73,8511.0,2014-02-12 05:45:00
172.16,172.73,171.6,172.73,9708.0,2014-02-13 05:45:00
172.16,172.45,169.91,170.75,6069.0,2014-02-16 05:45:00
170.75,172.73,169.35,171.04,22549.0,2014-02-17 05:45:00
171.04,176.12,170.75,173.59,11226.0,2014-02-18 05:45:00
173.59,177.81,173.29,177.81,9012.0,2014-02-20 05:45:00
177.81,192.77,177.81,191.93,33835.0,2014-02-23 05:45:00
195.03,204.62,192.49,192.49,23880.0,2014-02-24 05:45:00
192.49,195.59,186.28,195.59,25759.0,2014-02-25 05:45:00
194.75,198.69,178.94,189.1,14762.0,2014-02-26 05:45:00
186.28,187.68,182.33,184.86,7794.0,2014-03-03 05:45:00
181.77,183.45,178.37,183.17,18136.0,2014-03-04 05:45:00
180.63,192.49,179.23,186.28,12657.0,2014-03-05 05:45:00
186.28,189.1,184.86,186.28,27561.0,2014-03-06 05:45:00
186.28,186.28,180.63,183.45,15006.0,2014-03-09 05:45:00
183.45,183.45,177.81,183.17,8932.0,2014-03-10 05:45:00
180.35,182.05,177.81,177.81,10786.0,2014-03-11 05:45:00
180.63,182.05,176.4,180.63,10038.0,2014-03-12 05:45:00
180.06,182.05,178.1,180.63,9115.0,2014-03-13 05:45:00
180.63,180.63,173.59,176.4,9794.0,2014-03-17 05:45:00
177.81,177.81,172.45,173.59,5212.0,2014-03-18 05:45:00
173.59,179.23,172.16,176.4,4212.0,2014-03-19 05:45:00
174.14,178.37,173.59,178.37,2766.0,2014-03-20 05:45:00
177.81,183.45,176.68,180.63,10299.0,2014-03-23 05:45:00
182.05,187.97,180.06,186.28,10249.0,2014-03-24 05:45:00
185.99,191.93,182.6,189.1,21974.0,2014-03-25 05:45:00
189.1,194.46,186.28,193.05,22124.0,2014-03-26 05:45:00
193.89,198.97,191.93,198.69,39017.0,2014-03-27 05:45:00
198.69,206.59,197.56,206.59,19441.0,2014-03-31 05:45:00
204.91,215.91,204.91,214.5,18629.0,2014-04-01 05:45:00
214.5,225.79,212.52,221.27,35568.0,2014-04-02 05:45:00
217.6,225.79,208.85,209.42,18448.0,2014-04-03 05:45:00
207.45,209.98,206.04,208.85,10967.0,2014-04-06 05:45:00
205.47,213.09,205.47,213.09,10843.0,2014-04-07 05:45:00
213.09,217.89,209.42,217.32,7401.0,2014-04-09 05:45:00
217.32,218.74,214.23,218.16,5842.0,2014-04-10 05:45:00
214.5,221.55,214.5,221.55,15886.0,2014-04-13 05:45:00
220.15,222.96,215.91,221.55,12285.0,2014-04-15 05:45:00
220.15,222.68,215.35,217.32,8958.0,2014-04-16 05:45:00
217.32,220.99,214.5,220.15,8003.0,2014-04-17 05:45:00
220.15,221.84,218.16,218.16,9516.0,2014-04-20 05:45:00
217.32,220.43,213.94,216.75,6649.0,2014-04-21 05:45:00
214.5,221.84,213.94,220.15,9748.0,2014-04-22 05:45:00
220.43,221.55,217.6,219.3,13283.0,2014-04-23 05:45:00
220.15,220.15,214.5,217.89,4486.0,2014-04-27 05:45:00
216.19,217.05,212.52,214.5,3711.0,2014-04-28 05:45:00
214.77,216.75,213.09,214.77,4659.0,2014-04-29 05:45:00
211.68,211.68,204.91,209.42,14040.0,2014-04-30 05:45:00
206.32,211.68,206.04,207.45,7737.0,2014-05-04 05:45:00
208.85,215.91,201.53,213.09,9585.0,2014-05-05 05:45:00
209.42,213.09,209.42,212.81,2437.0,2014-05-06 05:45:00
213.09,214.23,208.85,211.68,4894.0,2014-05-07 05:45:00
211.68,215.91,211.39,213.37,7781.0,2014-05-08 05:45:00
213.94,213.94,206.04,206.04,4525.0,2014-05-11 05:45:00
206.04,209.42,204.62,208.01,2471.0,2014-05-12 05:45:00
204.62,208.85,204.34,208.85,2726.0,2014-05-13 05:45:00
206.04,211.68,200.95,210.26,2409.0,2014-05-15 05:45:00
208.85,212.81,208.85,208.85,3155.0,2014-05-18 05:45:00
