open,high,low,close,volume,date
46.64,46.64,46.35,46.35,40.0,2011-07-20 05:45:00
46.64,46.64,46.64,46.64,10.0,2011-07-24 05:45:00
46.64,46.64,46.64,46.64,180.0,2011-08-16 05:45:00
46.35,46.35,46.35,46.35,100.0,2011-08-17 05:45:00
46.07,46.07,46.07,46.07,10.0,2011-09-04 05:45:00
45.84,45.84,45.37,45.37,90.0,2011-09-07 05:45:00
45.15,45.15,45.15,45.15,20.0,2011-09-13 05:45:00
44.91,44.91,43.97,43.97,300.0,2011-09-15 05:45:00
43.93,43.93,43.93,43.93,90.0,2011-09-22 05:45:00
43.69,43.69,43.69,43.69,10.0,2011-10-31 05:45:00
43.51,43.51,43.51,43.51,150.0,2011-11-20 05:45:00
43.33,43.88,43.33,43.88,170.0,2011-12-05 05:45:00
43.69,43.69,43.51,43.51,2060.0,2011-12-06 05:45:00
43.33,43.33,42.44,42.62,690.0,2011-12-07 05:45:00
42.44,42.44,41.68,41.86,350.0,2011-12-12 05:45:00
41.68,42.06,40.94,42.06,4890.0,2011-12-13 05:45:00
42.06,42.25,41.86,42.06,1260.0,2011-12-14 05:45:00
41.86,41.86,41.86,41.86,260.0,2011-12-15 05:45:00
41.86,42.44,41.86,42.06,1520.0,2011-12-18 05:45:00
42.06,42.06,41.68,41.68,720.0,2011-12-19 05:45:00
41.55,41.59,41.55,41.59,140.0,2011-12-20 05:45:00
41.78,42.52,41.78,42.52,90.0,2011-12-21 05:45:00
42.34,42.34,42.15,42.34,200.0,2011-12-22 05:45:00
42.34,43.09,42.34,43.09,100.0,2011-12-26 05:45:00
43.27,43.45,43.27,43.45,30.0,2011-12-27 05:45:00
43.65,43.65,43.65,43.65,20.0,2011-12-29 05:45:00
43.45,43.45,43.17,43.17,140.0,2012-01-02 05:45:00
43.45,43.45,43.45,43.45,40.0,2012-01-03 05:45:00
43.65,43.65,43.65,43.65,20.0,2012-01-04 05:45:00
43.45,43.74,43.37,43.37,3580.0,2012-01-05 05:45:00
43.55,43.65,43.45,43.45,310.0,2012-01-08 05:45:00
43.37,43.37,43.37,43.37,100.0,2012-01-09 05:45:00
43.55,43.74,43.55,43.74,40.0,2012-01-10 05:45:00
43.55,43.55,43.55,43.55,40.0,2012-01-11 05:45:00
43.37,43.69,42.81,43.69,190.0,2012-01-17 05:45:00
43.51,43.51,42.57,43.51,210.0,2012-01-29 05:45:00
43.69,44.25,43.69,44.02,70.0,2012-02-02 05:45:00
44.02,44.02,43.78,43.78,2220.0,2012-02-09 05:45:00
43.6,43.6,42.66,43.22,4180.0,2012-02-21 05:45:00
43.04,43.55,42.66,43.55,4210.0,2012-02-23 05:45:00
43.74,43.74,42.62,43.37,4190.0,2012-02-26 05:45:00
43.17,43.17,43.17,43.17,4000.0,2012-02-27 05:45:00
42.98,42.98,42.98,42.98,4000.0,2012-02-28 05:45:00
42.81,43.6,42.44,43.6,4310.0,2012-02-29 05:45:00
43.41,43.74,43.22,43.74,3040.0,2012-03-01 05:45:00
43.55,43.55,43.13,43.51,3100.0,2012-03-04 05:45:00
43.51,43.51,43.51,43.51,50.0,2012-03-11 05:45:00
43.33,43.33,43.13,43.13,20.0,2012-03-19 05:45:00
43.33,43.69,43.33,43.69,30.0,2012-03-20 05:45:00
43.88,43.88,43.88,43.88,10.0,2012-03-29 05:45:00
43.69,43.69,42.94,43.51,510.0,2012-04-02 05:45:00
43.69,43.88,43.69,43.88,30.0,2012-04-10 05:45:00
44.06,44.29,44.06,44.06,30.0,2012-04-18 05:45:00
44.29,44.29,42.89,42.89,80.0,2012-04-19 05:45:00
42.71,43.84,42.71,43.84,560.0,2012-04-22 05:45:00
44.02,44.02,44.02,44.02,10.0,2012-04-24 05:45:00
44.06,44.29,44.06,44.29,110.0,2012-04-26 05:45:00
44.06,44.29,44.06,44.29,60.0,2012-04-30 05:45:00
44.53,44.76,44.29,44.76,120.0,2012-05-09 05:45:00
44.53,44.53,44.53,44.53,30.0,2012-05-10 05:45:00
44.29,44.29,44.29,44.29,100.0,2012-05-13 05:45:00
44.06,44.06,44.06,44.06,30.0,2012-05-15 05:45:00
44.29,44.29,44.16,44.16,460.0,2012-05-20 05:45:00
43.93,43.93,43.33,43.69,550.0,2012-05-22 05:45:00
43.88,44.06,43.65,43.65,220.0,2012-05-24 05:45:00
43.84,43.84,43.84,43.84,10.0,2012-05-27 05:45:00
44.02,44.02,44.02,44.02,10.0,2012-05-29 05:45:00
44.25,44.44,44.25,44.44,20.0,2012-05-30 05:45:00
