open,high,low,close,volume,date
75.68,75.68,75.68,75.68,10.0,2017-06-19 05:45:00
75.68,75.68,75.68,75.68,9.0,2017-07-26 05:45:00
75.68,75.68,75.68,75.68,1.0,2017-07-27 05:45:00
76.38,76.38,76.38,76.38,10.0,2017-08-15 05:45:00
77.1,77.1,77.1,77.1,1000.0,2017-08-20 05:45:00
77.8,77.8,77.8,77.8,10.0,2017-08-28 05:45:00
79.66,79.66,79.66,79.66,10.0,2017-09-10 05:45:00
80.36,80.36,80.36,80.36,10.0,2017-09-20 05:45:00
81.16,84.35,81.16,84.35,130.0,2017-11-05 05:45:00
85.23,88.76,85.23,88.76,130.0,2017-11-09 05:45:00
89.73,89.73,89.73,89.73,10.0,2017-11-13 05:45:00
89.73,90.71,89.73,90.71,60.0,2017-11-15 05:45:00
92.76,92.76,92.76,92.76,10.0,2017-11-27 05:45:00
95.36,95.36,95.36,95.36,10.0,2017-12-18 05:45:00
98.07,98.07,98.07,98.07,10.0,2017-12-19 05:45:00
100.89,100.89,100.89,100.89,10.0,2018-01-01 05:45:00
103.91,103.91,103.91,103.91,10.0,2018-02-04 05:45:00
103.91,103.91,103.91,103.91,20.0,2018-03-18 05:45:00
103.91,103.91,103.91,103.91,201.0,2018-03-29 05:45:00
107.06,107.06,107.06,107.06,10.0,2018-04-03 05:45:00
108.35,110.94,108.35,110.94,30.0,2018-05-02 05:45:00
112.35,115.17,112.35,115.17,30.0,2018-05-03 05:45:00
116.57,118.09,116.57,118.09,20.0,2018-05-06 05:45:00
119.61,121.12,119.61,121.12,20.0,2018-05-07 05:45:00
122.64,125.88,122.64,125.88,30.0,2018-05-08 05:45:00
127.51,129.24,127.51,129.24,20.0,2018-05-09 05:45:00
130.96,134.55,130.96,134.55,30.0,2018-05-10 05:45:00
136.39,136.39,136.39,136.39,10.0,2018-05-14 05:45:00
138.22,138.22,138.22,138.22,10.0,2018-05-16 05:45:00
143.09,143.09,143.09,143.09,10.0,2018-05-17 05:45:00
145.16,147.21,145.16,147.21,34.0,2018-05-20 05:45:00
149.27,149.27,149.27,149.27,10.0,2018-05-21 05:45:00
151.44,151.44,151.44,151.44,79.0,2018-05-23 05:45:00
153.6,153.6,153.6,153.6,12.0,2018-05-27 05:45:00
155.76,160.3,155.76,160.3,32.0,2018-05-28 05:45:00
166.25,168.74,166.25,168.74,24.0,2018-05-29 05:45:00
171.23,171.23,171.23,171.23,14.0,2018-06-04 05:45:00
173.83,176.44,173.83,176.44,24.0,2018-06-07 05:45:00
179.13,184.67,179.13,184.23,46.0,2018-06-10 05:45:00
187.48,193.3,187.48,193.3,44.0,2018-06-11 05:45:00
196.34,196.34,196.34,196.34,316.0,2018-06-12 05:45:00
199.38,202.51,199.38,202.51,24.0,2018-06-13 05:45:00
205.77,215.72,205.77,215.72,46.0,2018-06-14 05:45:00
219.19,233.26,219.19,233.26,96.0,2018-06-17 05:45:00
237.04,252.52,237.04,252.52,66.0,2018-06-18 05:45:00
256.74,273.74,256.74,273.74,740.0,2018-06-19 05:45:00
278.39,297.01,275.58,279.9,4813.0,2018-06-20 05:45:00
281.31,281.31,270.39,274.93,1730.0,2018-06-21 05:45:00
271.58,272.87,268.98,270.06,2329.0,2018-06-24 05:45:00
265.84,271.25,262.05,262.15,4261.0,2018-06-25 05:45:00
262.1,263.08,255.93,255.93,370.0,2018-06-26 05:45:00
251.55,257.89,251.55,256.74,65.0,2018-06-27 05:45:00
256.74,261.12,256.74,258.7,84.0,2018-06-28 05:45:00
258.7,258.7,249.92,249.92,430.0,2018-07-01 05:45:00
249.76,250.73,242.3,245.7,530.0,2018-07-02 05:45:00
