open,high,low,close,volume,date
111.27,113.29,111.27,113.29,17.0,2019-06-17 05:45:00
118.93,118.93,118.93,118.93,8.0,2019-06-24 05:45:00
124.57,124.57,124.57,124.57,8.0,2019-06-26 05:45:00
130.62,136.67,130.62,136.67,58.0,2019-06-30 05:45:00
143.11,143.11,143.11,143.11,8.0,2019-07-01 05:45:00
149.97,152.79,149.97,152.79,17.0,2019-07-03 05:45:00
160.05,167.71,160.05,167.71,42.0,2019-07-04 05:45:00
175.77,184.24,175.77,184.24,3397.0,2019-07-07 05:45:00
193.1,197.54,181.42,187.47,7902.0,2019-07-08 05:45:00
187.07,193.1,185.86,192.7,2592.0,2019-07-09 05:45:00
189.48,191.5,187.07,187.47,1025.0,2019-07-10 05:45:00
185.05,189.08,185.05,187.87,1500.0,2019-07-11 05:45:00
187.87,189.48,186.26,187.47,1167.0,2019-07-14 05:45:00
189.48,191.5,187.47,190.29,708.0,2019-07-15 05:45:00
190.29,193.51,187.47,189.89,458.0,2019-07-16 05:45:00
187.07,193.1,187.07,191.5,642.0,2019-07-17 05:45:00
191.5,195.12,190.69,190.69,300.0,2019-07-18 05:45:00
187.47,201.17,187.47,201.17,1390.0,2019-07-21 05:45:00
198.75,209.64,195.12,198.75,746.0,2019-07-22 05:45:00
208.43,208.43,193.91,199.15,1117.0,2019-07-23 05:45:00
196.33,209.24,196.33,209.24,2898.0,2019-07-24 05:45:00
205.61,214.08,199.15,208.03,7242.0,2019-07-25 05:45:00
210.85,210.85,200.36,202.78,1000.0,2019-07-28 05:45:00
205.61,221.73,205.61,221.73,2275.0,2019-07-29 05:45:00
226.17,240.69,219.31,240.69,1910.0,2019-07-30 05:45:00
240.69,264.47,237.86,264.47,2708.0,2019-07-31 05:45:00
269.7,290.67,267.7,290.67,3058.0,2019-08-01 05:45:00
305.18,319.7,304.78,319.7,1475.0,2019-08-04 05:45:00
325.74,351.54,314.46,332.6,8818.0,2019-08-05 05:45:00
328.57,328.57,299.54,301.96,3224.0,2019-08-06 05:45:00
296.31,326.55,278.17,324.53,1725.0,2019-08-07 05:45:00
318.09,319.7,302.36,319.7,442.0,2019-08-08 05:45:00
325.74,351.54,325.74,337.44,3225.0,2019-08-11 05:45:00
332.6,341.87,329.37,334.21,883.0,2019-08-12 05:45:00
328.57,340.26,328.16,332.2,688.0,2019-08-13 05:45:00
325.74,332.2,325.74,332.2,883.0,2019-08-14 05:45:00
326.15,334.21,326.15,334.21,425.0,2019-08-15 05:45:00
328.97,334.62,322.92,332.6,1167.0,2019-08-18 05:45:00
326.55,341.47,326.55,336.23,783.0,2019-08-19 05:45:00
330.58,336.63,329.78,336.63,392.0,2019-08-20 05:45:00
330.58,330.58,324.94,326.95,558.0,2019-08-21 05:45:00
326.95,330.58,324.13,326.95,300.0,2019-08-22 05:45:00
326.95,330.58,319.7,330.58,700.0,2019-08-25 05:45:00
326.55,330.58,322.52,327.36,1117.0,2019-08-26 05:45:00
322.52,330.98,322.52,329.78,425.0,2019-08-27 05:45:00
329.78,329.78,322.52,328.16,658.0,2019-08-28 05:45:00
326.55,329.37,323.32,329.37,75.0,2019-08-29 05:45:00
323.32,327.36,323.32,327.36,175.0,2019-09-01 05:45:00
322.52,325.74,321.31,325.74,992.0,2019-09-02 05:45:00
319.3,338.65,319.3,338.65,376.0,2019-09-03 05:45:00
335.83,335.83,322.92,327.76,308.0,2019-09-04 05:45:00
322.52,328.57,322.52,328.57,483.0,2019-09-05 05:45:00
325.34,326.55,322.52,326.15,142.0,2019-09-08 05:45:00
320.5,324.53,320.1,324.53,267.0,2019-09-09 05:45:00
324.53,327.36,319.3,326.55,267.0,2019-09-10 05:45:00
326.55,326.55,321.71,324.53,158.0,2019-09-11 05:45:00
322.52,322.52,318.9,321.71,207.0,2019-09-12 05:45:00
327.76,327.76,316.48,322.52,575.0,2019-09-15 05:45:00
316.88,324.53,316.88,324.53,175.0,2019-09-16 05:45:00
328.57,332.6,320.5,325.34,142.0,2019-09-17 05:45:00
325.34,331.79,322.52,330.98,367.0,2019-09-18 05:45:00
324.53,330.58,320.5,320.9,142.0,2019-09-19 05:45:00
318.49,318.49,310.83,318.49,67.0,2019-09-22 05:45:00
312.85,320.9,312.85,320.9,100.0,2019-09-23 05:45:00
321.31,322.52,314.46,322.52,200.0,2019-09-24 05:45:00
316.07,321.71,312.44,321.71,117.0,2019-09-25 05:45:00
322.92,322.92,316.88,320.5,283.0,2019-09-26 05:45:00
316.48,326.55,316.48,322.52,150.0,2019-09-29 05:45:00
