open,high,low,close,volume,date
269.78,296.21,269.78,296.21,18040.0,2020-12-20 05:45:00
309.88,309.88,267.05,267.05,11030.0,2020-12-21 20:45:00
255.19,255.19,240.62,240.62,1350.0,2020-12-22 20:45:00
236.06,236.06,216.91,216.91,6220.0,2020-12-23 20:45:00
212.36,219.65,195.95,203.24,13540.0,2020-12-24 20:45:00
199.6,204.15,195.95,196.87,9408.0,2020-12-27 20:45:00
200.51,200.51,189.58,193.22,7002.0,2020-12-28 20:45:00
189.58,193.22,185.92,185.92,5620.0,2020-12-29 20:45:00
185.92,193.22,182.28,193.22,4831.0,2020-12-30 20:45:00
195.95,202.34,185.92,199.6,5800.0,2020-12-31 20:45:00
205.07,218.74,187.75,204.15,5328.0,2021-01-03 20:45:00
200.51,205.98,193.22,202.34,3855.0,2021-01-04 20:45:00
198.69,218.74,192.31,211.45,4390.0,2021-01-05 20:45:00
211.45,222.38,200.51,209.62,3710.0,2021-01-06 20:45:00
205.98,209.62,202.34,209.62,10950.0,2021-01-07 20:45:00
219.65,219.65,198.69,204.15,3264.0,2021-01-10 20:45:00
204.15,209.62,198.69,199.6,2250.0,2021-01-11 20:45:00
195.95,206.89,195.95,205.98,5165.0,2021-01-12 20:45:00
206.89,216.91,198.69,205.07,11441.0,2021-01-13 20:45:00
215.1,215.1,201.42,202.34,1770.0,2021-01-17 20:45:00
203.24,204.15,200.51,201.42,1390.0,2021-01-18 20:45:00
199.6,202.34,196.87,196.87,5464.0,2021-01-19 20:45:00
198.69,209.62,196.87,202.34,4284.0,2021-01-20 20:45:00
212.36,222.38,200.51,222.38,2660.0,2021-01-21 20:45:00
233.32,233.32,202.34,216.0,10419.0,2021-01-24 20:45:00
226.03,226.03,207.8,218.74,5656.0,2021-01-25 20:45:00
218.74,225.12,205.07,213.27,4067.0,2021-01-26 20:45:00
209.62,216.91,205.98,213.27,4791.0,2021-01-27 20:45:00
211.45,226.03,204.15,226.03,2905.0,2021-01-28 20:45:00
222.38,226.03,204.15,208.71,5320.0,2021-01-31 20:45:00
205.98,220.56,205.98,215.1,6595.0,2021-02-01 20:45:00
211.45,219.65,207.8,216.0,12850.0,2021-02-02 20:45:00
211.45,219.65,207.8,216.91,12830.0,2021-02-02 20:45:00
214.18,234.23,214.18,226.03,18452.0,2021-02-03 20:45:00
222.38,226.03,218.74,222.38,12669.0,2021-02-04 20:45:00
211.45,229.67,211.45,226.94,13527.0,2021-02-07 20:45:00
216.0,226.94,216.0,220.56,5560.0,2021-02-08 20:45:00
217.83,226.94,216.0,216.91,3170.0,2021-02-09 20:45:00
214.18,220.56,214.18,220.56,4360.0,2021-02-10 20:45:00
224.21,226.03,211.45,220.56,5256.0,2021-02-11 20:45:00
216.91,218.74,209.62,212.36,1884.0,2021-02-14 20:45:00
214.18,226.03,208.71,221.47,4219.0,2021-02-15 20:45:00
217.83,218.74,214.18,214.18,2740.0,2021-02-16 20:45:00
204.15,215.1,204.15,213.27,6910.0,2021-02-17 20:45:00
209.62,222.38,209.62,218.74,2670.0,2021-02-18 20:45:00
218.74,222.38,215.1,216.0,10959.0,2021-02-21 20:45:00
205.98,232.41,205.98,227.86,23943.0,2021-02-22 20:45:00
236.06,236.06,216.0,228.76,6655.0,2021-02-23 20:45:00
224.21,226.94,217.83,218.74,4170.0,2021-02-24 20:45:00
215.1,223.3,211.45,218.74,7849.0,2021-02-25 20:45:00
215.1,215.1,205.98,210.54,6785.0,2021-02-28 20:45:00
206.89,216.91,203.24,211.45,3675.0,2021-03-01 20:45:00
215.1,215.1,205.07,205.07,4820.0,2021-03-02 20:45:00
204.15,207.8,200.51,202.34,5385.0,2021-03-03 20:45:00
201.42,213.27,201.42,210.54,6992.0,2021-03-04 20:45:00
209.62,214.18,202.34,211.45,4565.0,2021-03-07 20:45:00
221.47,221.47,205.98,205.98,5331.0,2021-03-09 20:45:00
205.98,211.45,203.24,210.54,1911.0,2021-03-10 20:45:00
218.74,219.65,208.71,215.1,7749.0,2021-03-14 20:45:00
215.1,218.74,208.71,210.54,3540.0,2021-03-15 20:45:00
200.51,223.3,200.51,216.0,7101.0,2021-03-16 20:45:00
226.03,236.97,209.62,236.97,23083.0,2021-03-17 20:45:00
248.82,260.66,235.14,260.66,67697.0,2021-03-18 20:45:00
