stock_name,start_date,end_date
ADBL,2024-02-11,2024-06-30
AHL,2024-01-28,2024-06-13
AHPC,2020-12-03,2021-04-13
AHPC,2021-02-24,2021-07-07
AHPC,2024-02-04,2024-06-23
AKJCL,2020-12-17,2021-04-29
AKJCL,2021-02-23,2021-07-06
AKJCL,2024-02-08,2024-06-27
AKPL,2021-02-22,2021-07-05
AKPL,2024-02-08,2024-06-27
ALBSL,2020-07-12,2020-11-24
ANLB,2024-02-25,2024-07-11
ANLB,2024-06-26,2024-11-17
API,2021-02-16,2021-06-29
API,2024-01-31,2024-06-19
BARUN,2020-12-09,2021-04-26
BBC,2020-02-05,2020-10-13
BBC,2020-07-27,2020-12-23
BBC,2020-09-15,2021-04-22
BBC,2024-05-27,2024-10-09
BEDC,2023-06-21,2023-11-09
BEDC,2024-07-23,2024-12-16
BFC,2020-11-26,2021-04-05
BFC,2021-02-15,2021-06-28
BFC,2024-05-08,2024-09-23
BHDC,2023-06-22,2023-11-21
BHL,2024-05-08,2024-09-23
BNHC,2023-09-05,2024-02-05
BNHC,2023-12-04,2024-04-21
BPCL,2024-02-06,2024-06-25
BPCL,2024-12-03,2025-04-22
CFCL,2020-12-03,2021-04-18
CFCL,2021-02-15,2021-06-28
CFCL,2022-02-01,2022-06-20
CFCL,2024-01-30,2024-06-18
CGH,2024-01-31,2024-06-19
CHCL,2024-02-07,2024-06-26
CHDC,2021-07-29,2021-12-16
CHDC,2023-12-19,2024-05-08
CHDC,2024-02-18,2024-07-07
CHDC,2024-08-18,2025-01-12
CHL,2020-12-17,2021-04-29
CIT,2020-07-29,2020-12-13
CITY,2024-02-04,2024-06-23
CORBL,2020-07-21,2020-12-06
CORBL,2021-07-12,2021-11-30
CORBL,2022-02-07,2022-06-23
CORBL,2024-02-29,2024-07-17
CORBL,2024-05-15,2024-09-30
CORBL,2024-07-21,2024-12-11
CYCL,2023-09-27,2024-02-25
CZBIL,2024-01-29,2024-06-16
DDBL,2020-02-27,2020-10-13
DDBL,2020-08-11,2020-12-24
DHPL,2020-11-19,2021-03-30
DHPL,2021-02-21,2021-07-04
DHPL,2023-07-04,2023-11-29
DLBS,2023-04-25,2023-10-30
DLBS,2023-09-03,2024-02-05
DOLTI,2024-02-18,2024-07-07
DOLTI,2024-07-15,2024-12-05
DORDI,2023-07-03,2023-11-28
EDBL,2020-12-14,2021-04-26
EDBL,2021-02-18,2021-07-01
EDBL,2024-08-07,2025-01-01
EHPL,2024-04-01,2024-08-15
FMDBL,2020-08-13,2020-12-27
FMDBL,2021-02-21,2021-07-04
GBBL,2020-12-14,2021-04-25
GBIME,2020-08-23,2021-01-04
GBIME,2024-02-14,2024-07-03
GBLBS,2020-08-12,2020-12-24
GFCL,2020-08-16,2020-12-28
GFCL,2020-11-26,2021-04-06
GFCL,2021-02-16,2021-06-29
GFCL,2022-02-07,2022-06-23
